pair	inflected_pair	Source Language
address question	address question	Besides the number of places available , we must also address the question of quality at European and national level .
suggest idea	suggested ideas	Mr President , Commissioner , after all these speeches , I wish to thank my fellow Members , the shadow rapporteurs as well as the rapporteurs of the committees who produced opinions , who suggested to me many ideas and who have made it possible to improve the text that we are voting on today .
make remark	make remarks	Let me make a few brief introductory remarks on the report itself .
make remark	made remarks	I also know that Thomas Markert , the secretary of the Venice Commission , was in the Committee on Liberties , Justice and Home Affairs on 25 May , and I read with great interest the remarks which he made .
address problem	address problem	How would you address that problem and the fact that the courts can not take into account the prima facie evidence , or lack of it , against an accused person ?
address question	addressed question	Point five : the question of energy cooperation will be addressed at the summit .
address problem	addressed problem	There is a problem which needs to be addressed if that is going to happen , namely that there is another very important report immediately after the Santini report , the Dankert report on the discharge for the European Parliament 's budget for the year 1994 .
make remark	made remarks	Mr President , I do not like to speak in the European Parliament on domestic policy issues , but since a Spanish socialist Member has made some personal remarks about a Spanish minister , I think I have a duty to explain the problem to her .
pose question	pose question	So one has to pose the question in those circumstances : if there are so many people who do not like this particular groundhandling common position , why should we as a party vote for it .
address question	address questions	Mr President , I understand the constraints of time , and colleagues will bear with me if I do not address in full all the questions posed to me .
make remark	made remark	A friend of mine who is a psychiatrist made the remark that it must be very frustrating for farmers who are denied now , particularly if they are in the pig and poultry area , the opportunity to grow their own food , additional food which they desperately need now that they are unable to have access to bone-meal which has traditionally been part of poultry and pig diets for many years .
make remark	made remarks	I would also like to thank the Commissioner for the remarks that he has made this morning because we are facing a very grave crisis in the beef sector .
address question	address question	But I address basically the question of the import of salmon from Norway .
address question	address question	Surely that is a question the Conference of Presidents could address and deal with fairly .
address problem	address problem	So all three institutions need to address this whole problem of fishing .
address question	addressed question	It could be said that the question which Mr Gallagher has addressed in his report is a very old one .
damage confidence	damaged confidence	On the percentage allocated to the United Kingdom , would he not agree that it would seem fairer to give a higher percentage to the country whose market and whose consumer confidence in that market has been most seriously damaged ?
address question	addressed question	The OSCE parliamentary assembly has also addressed the question of developments in human rights and sent a delegation to Turkey .
pose question	poses questions	This report starts the process and points out many of the problems and poses many questions to the Commission .
pose question	posed question	And the great question before us now is the one Mr Christodoulou has posed : are we going to be able to extend our umbrella over these new applicant countries ?
finalize deal	finalize deal	I am pretty sure that with the support of the European Parliament , we will be able to finalize a good deal for both sides .
pose question	pose question	It is perhaps a pity that this draft of the Irish presidency does not pose this question for it needs to be faced and , I would say , sooner rather than later .
pose question	pose question	So I would pose the question : how can we be confident that a programme to control the fishing effort of a large and powerful fleet would be successful ?
address problem	addressing problem	We are addressing this sort of problem by combining three facets of action : information , enforcement and finding out whether further legislative action is needed .
address problem	address problems	My amendment seeks to address the problems of competition distortion and secrecy , while supporting the principle of innovation .
practice profession	practice professions	Every Member State has its own sneaky little tricks for making sure that people do not find it too easy to go to other countries and practice their professions .
address question	address questions	But if we accept this use of a questionnaire , it has to be as broad as possible and address the questions you are asking : such as regionalization .
address problem	addressed problem	In spite of what Mr Wynn has just said , this is a very human problem and one which needs to be addressed .
address problem	address problem	So certainly let us address the problem of structural deficiencies but let us also recognize that there is a lack of principle involved in some of the ways we shape our policy .
address question	address question	Therefore my group believes that it is vital that before enlargement the European Council must come together again to address the question of majority voting in the Council as well as the composition of the Commission and the weighting of votes .
address problem	addressed problem	Will the Commissioner be considering instituting a financial instrument that will overcome the problem he clearly sees as needing to be addressed ?
address problem	address problem	So , it is one of the issues which DG VIII is looking at , mainly because I am going to Angola at the beginning of October and at the top of my agenda for discussion with the Angolan authorities and UNITA is exactly how we are going to address on a short-term basis the problem of the demobilization of between 60 , 000 and 90 , 000 men who have been fighting for thirty years .
make remark	made remarks	Madam President , ladies and gentlemen , may I first of all thank and congratulate Mr Moorhouse for his admirable report , with which I almost entirely agree , and to thank him and others such as Mr Ford and Mr Pompidou for the kind remarks they have made about the evolution of Commission policy and my role in it .
make remark	made remark	Therefore , I gladly withdraw the particular remark I made which I know he felt very deeply about .
make remark	making remarks	The accusations are that , under Portuguese law , by making such remarks , Mr Campos contravened various articles of the Portuguese penal code .
make remark	made remarks	However , it seems that Mr Campos ' remarks were not made on the spur of the moment .
make remark	make remarks	I was moved to make these remarks by Sir Leon 's use of the expression ' diversion of attention ' when talking of Congress 's attitude to Helms-Burton .
address problem	addressed problems	Indeed , rail pricing problems are being addressed by us in the framework of the follow-up to our Commission White Paper on railways strategy which we published last year .
damage confidence	damage confidence	I am afraid that it could have a cascade effect and certainly will damage consumer confidence within Europe , irrespective of its actual trade effect .
damage confidence	damage confidence	Even if there is very low probability of risk , we damage both consumer confidence and producer confidence .
address problem	address problem	One last point : could the Commissioner confirm that the failure to address the problem of the exchange rate and the compensation of the British pound has been an exacerbating factor , which is clearly within the competence of the Member States to resolve ?
address problem	address problems	Clearly the British Government is using Ireland as a scapegoat for its failure to address the genuine problems of its own farmers .
address problem	addressed problems	The fact remains that whilst we all love railways and recognize the need for railways , there are severe problems within the European rail industry , problems that need to be addressed by us all .
address question	address question	It would be helpful if the Commission could address this question , and I understand the Commission has already sent Italy a reasoned opinion in respect of the Eighth Company Law Directive relating to the professional qualifications of auditors .
address problem	addressing problems	Mr De Luca is quite right in claiming that the result of this enquiry has brought the Commission and Parliament 's Budgetary Control Committee closer together in addressing the various problems .
make remark	make remark	Therefore I would like to say - and pardon me if I also make this remark - that in fact if it carried on like this we could finally get rid of stupid rule we have , whereby we can only ask one single question for each general sitting .
address problem	addressed problem	I am grateful to the honourable Member for that question because it raises another very real problem which has to be addressed in the code .
address problem	address problem	We have the means to address that problem by supporting the Commissioner 's proposal for a 50 milligramme limit - a proposal , I understand , that has been on the table now for 10 years .
make remark	making remarks	I wonder whether those who have been making repeated remarks in successive votes in successive plenary part-sessions on this issue do not have a political motive behind them .
end agreement	ending agreement	Can I say to the Honourable Member there is no question of the Union ending a trade agreement with Israel .
address problem	address problems	Mr President , I would like to address in particular the problems faced in the border areas .
address question	address question	However , it does not address the unemployment question or the downside , negative aspects of the abolition of duty-free in terms of airports , airlines and , indeed , shipping companies that are already under severe pressure .
make remark	make remark	Since we are having difficulty in getting Mr Crowley and Mr Dell ' Alba , let me make a general remark about the work of the Rules of Procedure Committee .
address problem	addresses problems	Perhaps even more important today , can I also thank the Commissioner and his services because we in the Socialist Group have long been calling for a better type of annual economic report from the Commission which addresses the real problems facing our citizens .
address question	addressed question	In particular , it addressed the question of long vesting periods , difficulties with transferability of vested pension rights and tax difficulties linked to acquiring pension rights in more than one Member State .
address problem	address problem	This is the real problem that we have to address .
make remark	make remarks	I should like to make a few remarks about the procedure and about the hearings .
address problem	address problems	We have to address some of the problems that stem from peacekeeping .
make remark	made remark	Mr President , before starting any discussion on European defence , an essential remark must be made : the collective defence of Member States of the European Union does not depend on the European Union , but on the Member States and on the alliances to which some Member States belong .
address question	address question	Having brought together all the heads of government of Europe , it seems only right that we should find space in that crowded agenda for them to address the question of what kind of Europe we are trying to build .
address problem	addressing problems	Mr McCartin has taken on a rather more thorny series of problems in his report and I congratulate him for addressing them .
understand meaning	understand meaning	Why isolate and point a finger at Islamic fundamentalism when we do not truly understand the meaning and the philosophy behind Islam anyway ?
make remark	made remark	Having made that preliminary remark , I should say that the PPE Group supports the Evans report .
address problem	addressed problem	I trust the Commission will take careful account of Mr Howitt 's report from this House this evening , for he has not only identified problem areas , but offered constructive criticism as to how the problems can be addressed in order to make application of the guidelines more effective , thereby contributing to greater transparency and efficiency .
address problem	addressed problem	If there are too many guidelines , the problem should be addressed without obliging Member States to accept what might prove to be counter-productive uniformity .
address problem	address problems	Mr President , the confidence our citizens have in the European Union ultimately depends on how well the EU can address the real , everyday problems people have .
stimulate debate	stimulate debate	We can also stimulate Union-wide debate on the family by encouraging the Member States to share information and pool their experiences whilst at the same time respecting the principle of subsidiarity .
make remark	made remarks	I must stress that these remarks are made with no consideration of nationality or political persuasion or membership of clubs or secret societies but because over the years - and I could list them if there was more time - this House has been let down by poor administration in DG VI and Mr Jean Feidt should carry that responsibility .
address problem	address problems	Rural development , as proposed , can never hope to address the serious problems facing the rural and agricultural communities throughout the European Union at present .
reduce price	reduce prices	It is very clear that there is a strong move to reduce farm prices to world price levels and the levels of Eastern Europe to save money .
address question	address questions	We must address all the questions of food , health , the economy and political stability in one programme , if that is possible .
invest money	invested money	So I wholeheartedly agree with the establishment of the public-private partnership arrangement to ensure that the monies and the extra revenues which are created because of the single market within the European Union are put back into the European Union rather than allowing money which is invested in pension funds and so on to be invested in countries outside the European Union , which means that the Union as a whole loses all that money .
address problem	addressed problem	Mr President , at the end of her speech , Mrs Oddy just addressed a problem which really can arise in this area , where the issue is to what extent electronic signals can satisfy formal requirements laid down by law in the Member States .
address problem	address problem	Down the road this Parliament will find itself having to address the serious problem of the human resources of agriculture necessary for the continuity of the agricultural sector .
address problem	address problem	We are going to have to address this problem a lot more quickly , in particular we finally have to address the extremely sensitive issue of incineration which in most countries , I believe , causes local problems when it is mooted .
address problem	address problem	The landfill tax in my country is a prime example of how an ill-conceived idea that does not address the real problem can lead to taxpayers being out of pocket .
reduce price	reduced prices	There is some evidence that some banks have reduced their prices over the past five years since the proposal came on to the Commission 's agenda .
address problem	addressing problem	Will you commit yourself specifically to addressing that problem ?
address problem	address problem	The problem I am seeking to address in this question is that concentration of media ownership sometimes causes problems with freedom of the press , particularly when that concentration of ownership stretches beyond just ownership of newspapers and into other economic fields .
address problem	addressed problem	Mr Provan , you have addressed a very grave problem and one which the Council in fact considered at length during a very serious debate .
address problem	address problems	My suggestions for the reform of the Commission proposal are designed to address the considerable problems which continue to undermine the implementation of Union water policy .
address problem	address problems	In this I refer particularly to the need to share information on best practices - we have to be prepared to address common and specific problems transparently and honestly - and to the recent judgments in the European Court of Justice regarding cross-border access to medical products .
sell drug	sell drug	There is no point in people coming into this House and talking about liberal proposals when you look around and see young people dying from drug abuse , while the people who import and sell these drugs are getting away scot-free .
make remark	make remark	Mr President , ladies and gentlemen , I just want to make a brief remark .
address problem	addresses problem	Madam President , Commissioner , the Daphne programme , which is designed to combat violence against children , young people and women , addresses an urgent problem , and it therefore deserves all our support and the proper scope for action .
address question	address question	On the comment that Mr Brinkhorst makes on the question of the decentralised agencies - which Mr Kellett-Bowman has picked up - it is essential that the Council address that question , which both Parliament and the Commission have agreement on .
make remark	make remarks	I wish however today to make some remarks on the policy side arising from what Mr Prodi has said .
address question	addressed question	The question regarding the use of depleted uranium oxide in Kosovo or Serbia was not addressed .
address question	addressed questions	The Commission is concerned , however , that the questions raised have been met by only routine denials and have not been properly addressed in Russia .
improve economy	improve economies	The Central and Eastern European countries that were former members of the Soviet bloc have been able to pull themselves together , and improve their economies and their peoples ' standards of living .
address problem	address problems	It has to address massive domestic problems including social integration , chronically poor housing for the majority of the population , massive unemployment and an economy that produces only 0.46 % of world GDP .
pose question	pose questions	To take , for instance , the convergence of the telecommunication industries , audio and computer technology , which I feel pose fundamental questions regarding the way in which we produce and consume these industries .
address question	address question	At the request of the Council , the Commission is preparing a communication on air traffic delays and congestion and will certainly address this question again and propose initiatives in the field of airspace management .
address problem	address problem	Parliament , at its first reading , was particularly concerned to add an important extra objective , namely to address the problem of diesel fuel spillage on the highway , which has been posing an increasing safety hazard for road users , particularly riders of motor cycles .
address question	addresses question	This fuel spillage has resulted from inadequately fitted fuel filler caps , and the directive that we are now putting before you , with Parliament ' s amendments at second reading designed to tighten up those provisions , addresses this question by requiring motor vehicle fuel tanks to have positive closure mechanisms so that the cap is always securely closed .
make remark	made remarks	And I already made some remarks in my introduction on the relativity of forecasts , even if they are published , for the decision-making process .
make remark	make remark	There is another small remark I would like to make , Mr President , but it is important in the context of the motion for a resolution .
address question	addressing question	I am not ruling that out , but I want you to understand that in addressing your question in that way you should be aware that for progress to be made in that particular area , if it is intended to reduce the jurisdiction or the rights of Member States , Treaty changes would be necessary .
address problem	addressed problems	In welcoming this scheme , I hope that when it is reviewed in 2003 , if any of the problems I have mentioned have arisen , these can be addressed .
address question	address question	Unless we address that question then the whole issue of a Common Foreign and Security Policy and a European defence identity is no more than a day-dream .
address question	address questions	Does he agree with me that we need to have a Council of Defence Ministers if we are to address these questions ?
address question	addressed question	He also addressed the question of non-EU NATO members .
address problem	address problem	If it is established that the industry is being caused injury by anti-competitive practice of any kind , the Commission shall , where appropriate , propose to the Council measures to address the problem .
address problem	address problems	The Commission proposal does not specifically address the problems of air pollution in applicant countries ; and I think it is irresponsible , given the eminent enlargement , for Parliament not to be given any information regarding pollution levels in countries like Poland and the Czech Republic ; and the likely cost and time scale involved in bringing them up to exacting new standards .
pose question	pose question	I must pose the question : are we ordering our business in a correct fashion ?
address question	address question	We have to address very clearly the question of the judicial enforcement of this charter .
address question	address question	To address the question of whether there was a delay or whether the proceedings will ultimately come to court later than they would otherwise have done in the formal notice proceeding , the first letter sent by the Commission normally requires a response within a period of two months .
make comment	make comments	Madam President , I would like to make a few comments .
address issue	address issues	So although I may not share his conclusions , I believe he has illustrated in his report many of the issues which the Commission must address .
address issue	addressed issues	Once that is done , issues such as liability can be addressed .
address issue	address issues	That is one of the issues that we address in the annex to the legislation , and the intention is to establish a positive list for feed material .
address matter	addressed matter	In relation to Mrs Lynne 's question on interim payments : that is a matter that might very well be addressed by Parliament as it relates to budget issues .
make comment	made comments	Members , who , in the course of this debate , have properly praised Commission officials , who in the great majority and typically are of high integrity , hard-working and of great capability , are absolutely right in the comments that they have made .
make comment	making comments	Mr Newton Dunn , I would first like to say that I do not appreciate the kind of personal comments with which you started your second question , and I would be grateful if you could refrain from making such comments in future .
recall memory	recall memory	We understand that , and we recall too the sometimes short and selective memory that he has of Nazism .
address point	address points	A year is ample time to address a large number of issues and it should certainly be enough to address the few crucial points that we wish to be added to the agenda .
make comment	make comments	I would therefore like to ask the Commissioner , who was kind enough to make some comments about my remarks in the previous debate , to look into this and to report back to Parliament and to me their findings .
address issue	addressing issues	In fact , this directive , like so many others addressing environmental issues , is not good .
address challenge	address challenges	Is this House going to let its agenda be determined by scurrilous reports on a programme which bases its news items on lies , or is it going to get down to serious work and address the challenges facing Europe ?
stimulate activity	stimulate activity	Secondly , to promote and stimulate economic activity and social life within these historic centres , within these old quarters of our cities .
address issue	addressing issue	My group is especially attracted to the creative possibilities you signal in regard to the prospect of a White Paper next spring addressing the issue of governance .
address issue	address issues	I can only ask you again to bear in mind the technical nature of the Commission proposal and to wait for the substantive proposal for a new directive on additives in feedingstuffs to address wider issues .
address matter	addressed matters	All of these matters will be addressed in that legislation .
address situation	address situation	I welcome the legal base being set and the comprehensive way the new rules will , I hope , address this situation .
address issue	address issue	I want to address this issue directly because we in Europe are criticised unfairly for not taking human rights there sufficiently seriously .
improve system	improving system	Many Members have been working on the basis of trying to protect their own countries ' national interests rather than improving the overall system for Europe .
address issue	address issue	As far as criminal investigations are concerned , for which I am responsible , I take note of the invitation that was addressed to the Commission and the Council by several Members of the European Parliament to take this issue on board and to address it on a common legal basis , having regard to the relevance the interception of telecommunications may have as evidence before the courts .
address concern	addressing concerns	Let me finish by addressing some of the other concerns expressed in the draft resolution submitted to this House .
address concern	address concerns	I can only say again that Commissioner Bolkestein will be able to address all the concerns on Monday , in the appropriate committee , more competently and in much more detail .
understand reason	understand reasons	The first one is that people feel - for reasons I well understand - that in that transition there is a danger either of irresponsibility or of inertia .
address need	address need	These NGOs will address the most urgent need which is to move people in danger to more secure areas as well as providing health care , water and sanitation .
make connection	made connection	It is recognised in that White Paper that liability is only effective where the polluter can be identified , where the damage can be quantified and where a clear causal connection can be made between the two .
address issue	addressed issues	The most important issues that will be addressed this year will be the reform of the EU decision-making procedures , so that the enlargement process can take place in a streamlined and structured manner .
make comment	make comments	What more specific comments can he make about which sectors and which products will be concerned , and for how long ?
pose problem	pose problems	No exception has been moved for these under Article 2 ( 2 ) and the closure of incinerators following the entry into force of the directive would pose enormous problems of cost and of disposal of animal waste for UK farmers .
understand problem	understood problems	To save time I am going to assume that the respiratory and other health problems associated with ozone are understood , and that every Member of this House will want to reduce them .
address issue	addressed issue	I want to come to the issue which Mr Davies has addressed , namely , where we should start from .
make comment	make comments	Ladies and gentlemen , I would like to make a few final comments .
make comment	make comments	Whilst I was researching for these comments to make to you today , I looked for examples , because I think these illustrate so well to the citizens of the European Union how these developments will bring benefits to their lives .
make comment	made comment	People have rights and I do not think that the comment that was made yesterday was acceptable .
understand problem	understand problems	We understand as well , of course , the problems you are facing concerning the overlapping of programmes , creating problems of continuity for you .
understand problem	understand problems	We understand your problems , that they are not providing for you sufficient data in good time , especially with Objectives 2 , 3 and 4 , to enable you to ensure that the system works more effectively .
improve system	improve system	We also want to improve the rapid alert system , a system which is operated by the Commission to monitor the information on dangerous products and measures taken .
address issue	addressed issue	There is a body of legislation in place that deals with animal feed and in the White Paper this issue is also addressed .
get result	get results	All this has to be put in place to ensure that we get the best possible results for the work that has been undertaken and for the expense that is incurred .
address issue	addressed issues	That was done into the Autumn and I have been assured that the issues that were drawn to the attention of the French authorities during that exercise have been addressed substantially in the responses by the French authorities .
improve situation	improve situation	We should have a frank and open dialogue on the policies needed by partner governments to improve the situation in this respect .
address issue	addressed issue	Investment is a major issue which was addressed at the important conference held in Lisbon on 29 February and 1 March .
reduce cost	reduce costs	I am totally in support of the idea outlined by Mr Ferber regarding the setting up of an interinstitutional recruitment office because I believe it will help reduce costs and reduce competition between the institutions in attracting new personnel .
make comment	made comments	Disciplinary procedures ? I do not think so , but I do promise to consider very carefully the comments you have made regarding both the no-smoking areas and attitudes towards the ushers .
improve service	improve services	My committee feels that the money , inadequate at the moment , should be used to improve the facilities and services offered , which is why we also want to see an overall strategy for the development of services , with a view to refugees and displaced persons being able to play a fully active role in society as equals .
reduce cost	reduce cost	There are obligations on financial institutions within the Union to substantially reduce the cost to consumers of transferring money from one euro-zone to the other .
improve work	improve work	This means that we have not only the perspective of this Cairo summit but also a well-established basis to continue , widen and improve our daily work .
stimulate economy	stimulate economy	We can see that education will deliver , it will stimulate the economy , it will offer opportunities to control population and increase health awareness .
address issue	addressing issue	There is a general issue about security , which I know the High Representative is addressing and rightly so .
reduce rate	reduce rate	I want to put it to her that it is far better to reduce the rate of growth in agriculture in order to protect the money that is currently going to the very poor in this world , because the alternative would be to squeeze further the budget lines in category 4 .
address issue	address issue	The other issue I should like to address is the contamination of gene transfer .
address issue	address issues	We must address those very real issues .
address concern	addressed concerns	The President-in-Office addressed some of these concerns in his speech .
get result	getting result	I should like to congratulate my colleague , Mrs Evans , for setting up this marvellous debate and getting this superb result today .
forget problem	forget problems	So let us be sure that we carry the directive but do not forget the other problems .
stimulate growth	stimulate growth	Mr President , Commissioner , e-commerce offers the European Union a unique chance to stimulate economic growth , strengthen the industry ' s competitiveness and create new jobs .
address issue	addressed issue	This is an issue that will have to be addressed in the future .
address challenge	address challenges	I support the thrust of this report , which is in line with the policy of budgetary rigour , because the major challenges that this Chamber needs to address are greater accountability and transparency which will involve embracing institutional reform with vigour ; secondly , the forthcoming enlargement of the Union and thirdly , a drive towards improving efficiency through effective budgetary control and better use of resources .
make connection	making connection	We must win the confidence of the European taxpayer and we can only do this by improving accountability through simplifying - not mystifying - the work of Parliament , by reducing jargon , by improving the process of approving legislation and improving the legislative machinery and by making a clear connection between what we do here and how it benefits the individual .
improve service	improve services	Rather than reducing the budget we should be looking at how we improve security services , and the question we should be asking is : should we have our own security services or should we be retendering it rather than just reducing the budget ?
address issue	address issue	Surely , when we are looking at budgetary rigour we have the right to address this issue because until we do so the general public will be confused about what we are doing in so many places .
reduce cost	reduce costs	However , we are trying to reduce those costs , especially on buildings .
cause death	cause death	BSE is a degenerative disease which does not cause sudden death anyway .
address concern	address concerns	However , I shall be raising your concerns on pharmaceuticals and cosmetics , which a number of you mentioned , with my colleague Mr Liikanen and I will ask him to address those concerns .
address issue	addressed issues	Clearly there are significant health and safety issues which can be addressed - not only for the protection of workers but also for the protection of their customers and the general public - and issues of customer health and safety of course are particularly relevant in relation to doctors in training .
address issue	address issue	Finally , I will address the issue of the risk of what happens if we do not get the staff and the resources to do the job .
improve system	improve system	There should be no more closures and we should make more finance available to improve the present railway system to have more goods moved by rail and not by road , which is totally unacceptable from an environmental point of view .
make comment	make comment	Mr President , I would like to make a comment in relation to yesterday ' s Minutes .
make comment	make comment	The one comment I would like to make about the state of the single European currency is : Why do so many Member States want to join such a regime ?
address issue	address issue	The other issue we have to address is the ability of investors to make satisfactory returns on their investment .
address issue	addressed issues	Mr Paasilinna ' s report inevitably touches on some of the issues to be addressed by the final proposals , which we will discuss here again next month .
make comment	made comments	I would like to thank everyone for their comments but I agree most with the comment made by Mr Hänsch .
address issue	address issues	I will therefore try to address a few of these key issues .
address matter	address matter	I wish first of all to address the matter of improving existing penal law in the Member States as regards the criminalisation of traffickers of human beings for the purpose of sexual exploitation .
pay fee	pay fee	In the old days people went out and took risks with their lives and bad equipment ; today they have the capacity to know where the fish are , to get them , and to exploit them and they should have to pay a fee for that .
cause confusion	causes confusion	This report , whose name probably causes more confusion than clarity amongst those people who have not been following , the subject is in fact a number of separate amendments updating the original regulation .
finalise agreement	finalised agreement	I know that he debriefed Members right after the agreement was initialled : he phoned the honourable Member to inform him that he had finalised the agreement .
improve situation	improve situation	I hope that we can take up some of the ideas put forward in this report to improve their situation .
cause uncertainty	causing uncertainty	This is particularly so in my home region , the West Midlands , where this delay is causing a great deal of uncertainty to local communities and the local taxpayers , who are having to underwrite the projects to the tune of many millions of pounds , pending the resolution of the problems I have outlined .
improve situation	improving situation	I know the Turkish authorities are looking at ways of improving the situation and so are the applicant countries and those which would like to be applicant countries .
address topic	address topics	In view of the large range of topics included in the Annual Report it will clearly be impossible to address all of them at our meeting today .
improve system	improving systems	Regarding the issue of cross-border retail payments , which has been raised by the European Parliament on various occasions , I recall that in September 1999 the ECB published a report entitled Improving Retail Cross-border Payment Systems - the Eurosystem 's View .
cancel project	cancel project	Better still , cancel the whole project and put all the funds into a special account to help defray the enormous costs that will be incurred when the euro is eventually dismantled .
address issue	addresses issue	The proposal provides not only for the protection of children 's health , it also addresses an internal market issue .
reduce cost	reduce costs	Finally , our proposal will help to reduce considerably the costs of patents in Europe by not requiring supplementary translations of the patent once it has been delivered in one of the three languages of the European Patent Office .
reduce cost	reduce costs	At the moment translation costs are the biggest problem when we try to reduce the costs and speed up the process .
address need	address need	But as you can imagine , in this new field we have to address the need to reinforce security on the basis of the subsidiarity principle , in the sense that we have to recognise that each Member State is entitled to adopt its own national legislation to guarantee law enforcement at national level .
improve work	improve work	We need to value this mechanism and use the experience of the people we represent , as expressed through their petitions to improve our work as a whole .
reduce cost	reducing costs	We also need to find other permissible ways of reducing the costs associated with transport to island and outlying communities .
pose problem	poses problems	I accept that free access to Europe for Mediterranean products poses problems for producers in our southern Member States , but surely this problem could be compensated at least to some extent in the CAP .
manage project	managing project	When I was a member of the Budgetary Control Committee and met the people who were managing this project , I was not at all impressed with the knowledge that they had of running such an enterprise , and I come from an industrial and financial background .
address issue	addressing issues	We can all take solace from the fact that the key protagonists in this difficult political equation are now addressing the most vexed and thorny bottom line issues that have to be resolved if a permanent peace agreement is to be put in place in the Middle East .
understand problem	understand problem	I do not understand the problem .
address point	address points	Could you perhaps address these points when you respond to our debate later on ?
address issue	address issue	Whilst I have some philosophical sympathy with Senator Hollings and his colleagues who consider that state-owned companies have some hidden and sometimes explicit advantages over their privately-owned competitors , the way in which Congress in the United States is trying to address this issue is contrary to both the spirit and the letter of US multilateral commitments .
improve service	improve services	EU leaders pointed to the need to improve our overall telecommunications services .
end contract	end contract	This situation was aggravated last summer when a decision was taken in the light of the report of the Committee of Independent Experts to end the contract with the technical assistance office which helped in the implementation of this programme .
organise conference	organised conference	The Euro-Mediterranean conference on water management in Marseilles on 25 and 26 of November 1996 was organised on the initiative of the European Commission and the French Government , with the support of the city of Marseilles .
improve situation	improving situation	The Commission is also pursuing action in the social and educational field with a view to improving the situation of children .
make comment	made comments	Mr President , I agree with many of the comments that have been made so far by Mrs McKenna and Mrs Maij-Weggen on the situation in Burma .
get message	got message	I got the message very well , Mr Wynn .
address issue	addressing issues	Instead of engaging in this sort of interference , we should be addressing those issues where it is constructive for Member States to work together and develop some common standards .
read article	read articles	These two articles , in whatever combination , have to be read together .
reduce cost	reduce cost	There should be an agreed dispute-resolution mechanism available at local level , which can reduce the cost of settling consumer disputes because , as has been pointed out by many speakers this evening , there is the question of added costs with regard to resolution of disputes .
understand reason	understand reasons	Madam President , I would like to point out to my fellow Members and to yourself , that , whilst I understand the reasons which led you to go over the top and set such a full agenda for Wednesday , with regard to the political topics due to be discussed between 9 a.m. and 4 p.m. , the Council and the Commission have exactly the same speaking time as all the Members of the European Parliament , i.e. 90 minutes for the Council and the Commission and 90 minutes for the MEPs .
improve system	improve systems	But there is room for the Commission to coordinate and improve evaluation systems as provided for in the Treaty and I was glad to see that the Commission was careful to emphasise that this is to be based on voluntary cooperation between the Member States .
make comment	made comments	Finally , I have made a few comments about the European Investment Bank taking a controlling interest in the EIF .
address point	address points	I would like to address the main points raised by the Committee on Employment and Social Affairs ' report prepared by Mr Bushill-Matthews .
organise conference	organise conference	First , on social security and the labour market , the report calls on the Commission , before the end of this year , to organise an international conference for the Member States and applicant countries concerning the position of frontier workers .
reduce cost	reduced cost	We must be concerned about the human problems that arise out of the squeeze-out of excessive labour , but at the same time , we should remember that the cost of food has been reduced .
get information	get information	Perhaps you will be able to get some more information about this primrose willow and the way it has spread in an unnatural way .
address situation	addressing situation	The twin-track approach I have set out underlines the value added of the Community contribution to addressing the health and environmental situation in the Balkan region .
