pair	inflected_pair	Source Language
close debate	closing debate	I ask Commissioner Patten in closing the debate , first to assure us that the facility will be utilised in response to crises world-wide in support of the EU 's development goals and not just in Europe 's own backyard .
tackle problem	tackle problem	We must tackle that particular problem .
tackle problem	tackle problems	I hope Mr Costa 's work , his report and the conclusions we will reach tomorrow will provide a framework within which we can begin to tackle these problems .
tackle crisis	tackle crisis	I commend Mr Costa 's report , his work and , above all , his ability to bring us all together in a single common objective of trying to tackle the transport crisis .
find way	find way	Algeria must also find a way of addressing the past crimes of terrorists who have renounced violence .
tackle issue	tackle issue	In due course we also need to tackle the issue of agricultural trade .
tackle problem	tackling problems	Emphasis will also be put on tackling a series of structural problems in the country and , in particular , political , social and economic reforms .
close debate	close debate	That is an excellent answer with which to close this debate .
tackle challenge	tackle challenge	Illegal immigration and human trafficking is a key issue for the European Union , and we must work together to tackle this challenge .
find way	find way	Agents will still find a way of getting round that .
find way	find way	We need further assurances and guarantees on transparency and market consultation and on democratic oversight , but I hope we and the other two European Union institutions can find a way to make these proposals work .
tackle problem	tackle problem	The result has undermined both the country-of-origin principle and the principle of the single passport , because operators still face multiple , overlapping and sometimes conflicting sets of rules when they trade across the European Union - just the problem which the ISD was supposed to tackle .
tackle problem	tackle problems	Important landmarks are : the agreement to close non-upgradeable units in Lithuania , Slovakia and Bulgaria ; the support that the programme has given to the nuclear regulators ; the short-term urgent safety improvements made to some reactors ; the design and operational improvements in upgradeable reactors and also considerable assistance to tackle the problems related to radioactive waste and spent fuel .
tackle issue	tackled issues	The security issues will also be tackled in the upcoming communication on security of electronic networks that should be presented in time for the Gothenburg European Council .
break cycle	break cycle	So it can help break the cycle of poverty and unemployment .
find way	find ways	Of course , we can find other ways of cooperation .
find way	finding way	Our common future depends on finding an effective way to ensure integration and sustainability .
tackle problem	tackle problems	We have proposed the use of thematic strategies for defining the set of measures that will be needed to tackle six complex and multi-dimensional problems .
break cycle	broken cycle	The European Union will seek to protect natural resources that lie at the root of economic development , to strive for the promotion of eco-efficiency , promote the sustainable use of water land and energy as well as try and ensure that the vicious cycle of poverty and environmental degradation is broken .
break cycle	broken cycle	The European Union will seek to protect natural resources that lie at the root of economic development , to strive for the promotion of eco-efficiency , promote the sustainable use of water land and energy as well as try and ensure that the vicious cycle of poverty and unenvironmental degradation is broken .
tackle issue	tackling issue	What strikes me is the sheer naivety of both the Commission and the Council in tackling such a highly political issue as if it were nothing more than a technical decision .
tackle point	tackled points	Other points the House makes concerning , for example , mission statements , redeployment , new delegations , monitoring and evaluation will be tackled in the communication on the development of the external service , which we will be bringing forward shortly .
tackle issue	tackled issues	It is very timely , therefore , that this summit will be addressing key environmental issues which need to be tackled , both within the Union and in a more global context .
close debate	closed debate	The joint debate is closed and that concludes the debate on topical and urgent subjects of major importance .
find way	find way	It is incumbent upon us to find a better way rather than witness the senseless slaughter we have recently seen .
tackle issue	tackled issues	If we are replacing or enhancing our legal system and access to justice , these issues are key to civil society and they can not and must not be tackled without the input of democratically elected Members .
break cycle	break cycle	And secondly , to acquire the technology to break the cycle of dependency on us and seize the opportunity to be self-sufficient , self-reliant through their own local enterprise .
find way	find way	We very much appreciate the work of the Dutch Minister , Mr Pronk , in seeking to find a way to solve the unresolved issues left over from The Hague , and we would appreciate it if the Commission could give us its view on how successful he has been to date and whether or not the work he has done has now cleared the way forward .
break cycle	break cycle	Secondly , we must give them the appropriate technology - third world technology - which they can then use to start local enterprises to break this cycle of dependency on us .
find way	find way	Until we find a way of encouraging all the Member States to do this , there is no point in one Member State doing it , there is no point in two or even three , four or five Member States : it has to be right across the board of all Member States or else you will end up with massive recriminations between Member States as to who is doing what .
close case	close cases	As I have already said , in the interests of greater transparency the Commission is now publishing its decisions to send letters of formal notice , to issue reasoned opinions , to refer cases to the Court or to close or withdraw cases immediately a decision has been taken .
close case	close case	These inquiries are now very close to completion whereupon a decision will be taken , either to close the case or to launch formal infringement proceedings under Article 226 .
follow activity	following activity	We are following very closely every activity there .
tackle challenge	tackling challenge	The decision of Member States to make the Union an area of freedom , security and justice should provide a basis for urgency in tackling a growing terrorist challenge .
tackle issue	tackle issues	Those are the critical issues we have to tackle .
tackle situation	tackling situation	Therefore the Commission should give particular attention to ways of tackling this unacceptable situation for women in Europe .
tackle problem	tackles problems	Mr President , European policy that tackles environmental problems is justified since air and water pollution are issues which extend across our national borders .
tackle issue	tackling issue	This marks a first step in tackling the issue .
find way	find way	The problem we are discussing here today and the challenges it involves tell us that Europe now needs to get organised and find a way of achieving what the world needs to achieve .
find way	find way	We have to find a way of strengthening the ability of all the European institutions to carry on taking a leading role in international human rights and anti-discrimination work .
mount campaign	mount campaign	Commissioner , the European Union is facing several major challenges , which it will have to meet as quickly as possible if it wants to mount an effective , coherent and long-term campaign against terrorism , with particular reference to breaking up the terrorist networks .
drop rate	dropped rate	The US Federal Reserve has now dropped the federal funds rate to 2.5 % - a 39-year low .
tackle problem	tackling problem	His call for the EU to devote 10 % of our development aid to tackling this problem , his emphasis on preventative action with the 15-24 year-old age group in relation to AIDS , and his proposal for a global fund for infectious diseases and the establishment of an EU research agency should be the cornerstone of any new EU policy in this area .
tackle problem	tackled problems	We acknowledge that there are human rights problems in that country to be tackled , but we welcome its partnership in the fight against terrorism .
tackle problem	tackle problem	The Commission has been implementing measures since May of last year to tackle this problem .
tackle point	tackled point	By giving those setting up the teams the discretion to determine their composition and to express objections when necessary , it seems to me that this point has been tackled very effectively .
find way	finding way	It is a question of finding the best possible way to alleviate the effects of what I believe to be , if you pardon the expression , the chronicle of a death foretold .
find way	finding way	Perhaps we are finding a way of having a more civilised relationship with the NGOs than was evident in Seattle and Genoa ?
tackle problem	tackling problems	We have been to the fore with in bringing forward innovative programmes tackling common diseases such as cancer , biological hazards , risks to food and food safety , and also the ongoing problems of BSE and foot-and-mouth disease .
find way	find way	Mr Lagendijk and Mrs Morgantini and others spoke about the moving speeches that we had heard this morning about the sacrifice of the next generation because the present generation can not find a way of living peacefully together .
find way	found way	We clearly state that under no circumstances should the Palestinian Authority or its presidency be harmed or targeted if a way out of this crisis is to be found .
close debate	closed debate	Mr President , I understand that the debate is closed , but I am here and I am ready to continue .
tackle matter	tackle matter	I can only hope that the Commission and the Spanish presidency acting together will begin to tackle this very important matter in the months ahead .
tackle problem	tackle problem	In a broader framework , it is crucial to ensure a swift ratification and a coordinated implementation of the UN Palermo Convention against transnational organised crime and its two protocols on trafficking and smuggling , which now form the basis for a global recognition of the problem and a stronger approach to tackle it .
tackle problem	tackling problems	This has given rise to frustration , but Commissioner Nielson is tackling these problems with some vigour .
find way	find way	More damage to the environment will probably be done and we have to find a way , without being culturally imperialist about it , to ensure that rapid economic development in the countries of eastern and central Europe does not damage the environment , particularly the natural environment , in the new Member States .
find way	found way	The British government made a similar declaration in June 1999 hoping that a way could be found to get agreement on the inclusion of terrorist acts in the future .
find way	finding way	This means , in Barcelona , agreeing important economic reforms , finding the way towards reform of the common agricultural policy , and moving towards reforms of our institutions .
find way	find ways	We all accept the need to support farming in rural communities , but we have to find different crops and different ways of supporting them in the future .
find way	find way	It is very difficult to find a subject which does not fall under those three but , in the light of the way in which this has been prepared , we in this House and our committees will find the right way in debates to put forward where we think the priorities lie .
tackle problem	tackling problem	Let me briefly recall why we are tackling the specific problem of electrical and electronic waste .
tackle issue	tackling issue	Not radically tackling the language issue now will only get worse after enlargement when there are 40 million Polish speakers who also want their language to be given the same priority as , say , Italian or Spanish .
find way	find way	So it is quite an important question to try and find a way of dealing with the whole market in a way that is sensitive to both sources of production .
find way	find ways	Our ongoing efforts will be particularly important because the future convergence of the media - television , computers , the Internet - will mean that we will have to find new ways to really guarantee that young people and human dignity will be protected .
tackle issue	tackled issue	The Commission is finalising a draft regulation on official feed and food controls , in which the issue of sanctions will be tackled .
tackle challenge	tackle challenges	Albania needs to ensure long-term political stability as a sine qua non to tackle the difficult challenges ahead .
break cycle	break cycle	That in turn leads to low-income countries , which leads to malnutrition , and that is the cycle we want to break .
tackle issue	tackle issue	And , in the meantime , consumers across the European Union will have to pay , as they have always done , and as they will continue to do unless we tackle the issue of the cartel .
tackle issue	tackle issue	Everybody will agree that political violence should be overcome by political means but could the rapporteur tell me how I , as an individual Member , can put this internal European Union question on to the agenda of this House to tackle this urgent and important issue ?
tackle issue	tackled issue	The issue of human rights and missing persons was tackled , but unfortunately , taking into account the brevity of the meeting , too briefly .
tackle issue	tackle issue	Sooner or later , we have to tackle , within this general issue of allergies and labelling , the issue of a special interest which has always stood in the way of accurate labelling of some products and of applying the same provisions to all products .
tackle issue	tackle issues	While we understand and appreciate that many issues we tackle over the next few months will be very difficult , please do not let us delay .
find way	find way	We must face up to the huge number of farmers in these enlargement states and we must find some way of helping them to restructure their agriculture as and when they come into Europe .
tackle issue	tackle issue	But - and this is a crucial issue she did not mention - it allows the industry , and everyone else involved , to tackle the issue on a broad front because we know that simply making the front end of cars more resilient in the event of a crash is a second option .
tackle problem	tackled problem	It is very clear that the problem of illegal immigration in Europe is one that needs to be tackled and I welcome the agreement reached by our leaders to intensify their coordinating efforts at sea and land borders to halt illegal immigration into the Union .
shape outcome	shaping outcome	However , it has to be recognised that the factors which contributed to shaping this outcome could not be controlled by the ECB .
find way	find way	We must be serious when we say we must find a way of solving that .
find way	find ways	In the years when I had something to do with this in an academic capacity , it was notorious that it was extremely difficult within the sociology of law to find reliable ways of assessing the impact of legislation which was in force .
tackle problem	tackling problems	We strongly believe that multilateral arrangements and conventions , the UN , the G8 , the OSCE and others are the key to tackling the security , development and environmental problems which confront the world .
tackle problem	tackling problems	In the EU , we know how much more we can achieve by pooling our resources and setting common standards and by tackling together environmental problems which have cross-border implications .
tackle problem	tackle problems	Openness about those problems and the measures taken to tackle them will make us better able to reassure the doubters .
tackle problem	tackle problem	After the successful conclusion of the Kyoto conference in Bonn , the Commissioner told the press that we could now tell our grandchildren that we did something to tackle the problem of climate change .
tackle issue	tackle issues	So both are issues we must try to tackle at the same time .
tackle challenge	tackling challenge	The European Union must demonstrate that it can achieve the same vision , imagination and commitment by significantly raising its own financial contribution and offering real European leadership in tackling the most devastating global challenge of our times .
find way	find way	As regards benchmarking , you are right that perhaps we could find a better way to enforce the procedure .
tackle issue	tackled issue	As Mr Pérez Álvarez has pointed out this evening , the issue was also tackled in the framework of the directive on temporary and mobile work sites , but in a fairly limited way .
attack cause	attacking causes	Why have we not identified the country-specific problems , so that we can focus our aid on attacking the causes of poverty ?
find way	found ways	Iran needs to understand that Europe is extending the hand of friendship and that ways can be found to live together without Iran losing either its identity or its opposition to the worst of Western values .
tackle issue	tackled issue	Could the Commissioner tell us how that issue is going to be tackled ?
tackle problem	tackled problems	The Commissioner 's powerful leadership has accepted no obstacle that would delay enlargement and he and his team have successfully tackled and overcome immense and daunting problems and have brought us to the happy position we enjoy today .
find way	find way	To this I would like to say that CESAR is a new organisation which needs time to develop itself and to find a proper way of acting .
close case	closed cases	We have been actively pursuing these cases and therefore four out of the nine cases presented in the report have already been successfully closed .
tackle matter	tackle matters	Instead , we need to tackle these matters as individual states and take tougher measures to discourage traffickers and bogus asylum seekers .
find way	find way	I am very pleased that the European Parliament supports this approach , even though we have yet to find a satisfactory way of involving Parliament more in the open method of coordination .
find way	find way	I hope that the Commission will look at that and find a way of engaging them more coherently in EU activities .
tackle problem	tackles problem	We can learn how the United States tackles this problem , in relation not only to prevention - it saves some USD 6 billion per year by preventing incidents like this - but to its response when incidents do happen .
find way	find ways	In short , we have gone a very long way to find creative ways to improve Kosovo 's economic situation and we will continue to do so .
find way	find way	So we need to find a sustainable way of keeping people active and healthy for as long as possible .
tackle problem	tackle problem	We have a moral obligation to create permanent peace and stability , tackle the problem of the warlords , improve human rights , especially , as other speakers have pointed out , women 's rights , and establish real democracy in Afghanistan .
tackle concern	tackling concerns	The agreement provides an additional forum for tackling these concerns .
tackle issue	tackled issues	If those issues are tackled , aquaculture can provide , as I said earlier , a good source of good food for our population as well as creating jobs .
tackle crisis	tackled crisis	In South Korea , the election of Kim Dae-jung as president in the late 1990s meant that the economic crisis there was tackled effectively and also resulted in efforts to implement the sunshine policy of trying to achieve normalisation of relations with North Korea .
tackle issue	tackle issue	It should also tackle the important issue of the abolition of the death penalty , and again , we call on the EU to sponsor a resolution inviting all states to introduce a moratorium on executions with a view to the total abolition of the death penalty , and we reiterate our request to the US , China , Saudi Arabia , Congo , Iran and other states to immediately end all executions .
find way	finding way	We have a moral obligation to support the effort of finding the way to provide urgently needed medicines to people in developing countries .
tackle problem	tackle problem	Immigration numbers are one of our citizens ' priorities , and one of the areas where they clearly expect us to tackle the problem at European level .
tackle problem	tackle problem	The attempts that have been made at European level to tackle this problem are inadequate .
tackle issue	tackle issues	There are certainly many people who believe that qualified majority voting and codecision procedures should be used to tackle immigration issues .
tackle situation	tackle situation	The White Paper proposes to tackle this situation by gradually breaking the link between transport growth and economic growth or an increase in GDP , while recognising that economic growth will generate greater needs for mobility .
tackle problem	tackling problems	They have our sympathy and support in tackling the many problems they face : pollutants , locusts and AIDS , to name but three .
close case	closed cases	The perpetrators of these crimes have never been apprehended , and many cases have simply been closed .
tackle issue	tackled issue	A number of Member States could only accept any sort of agreement if the issue of residence taxation of pension payouts versus source taxation was also tackled .
find way	find way	Having created an unnecessary and artificial military divide , the EU and NATO have had to spend two years on negotiating and arrangements to enable the European Union and NATO to find a way of working together .
tackle issue	tackle issues	That industry is starting to reconfigure and to work together with support from the British Government , using European funds , to tackle these issues .
tackle problem	tackle problems	So clearly , a significant amount of work is required to be done to tackle these problems .
tackle problem	tackle problem	We believe that the piecemeal approach to tackling fraud within the EU has been insufficient , and , whilst agreeing with the establishment of Eurojust , OLAF , strengthening the Court of Auditors and fraud-proofing legislation , we do not believe that these measures will tackle the problem of prosecution of EU fraud .
tackle issue	tackled issues	We also tackled the issues of Members ' expenses and payment of the pensions .
find way	find way	Mr President , on behalf of the PSE Group I welcome this proposal and many of the amendments tabled by colleagues , and those tabled by the rapporteur who has already worked very hard to find a sensible way forward on this .
find way	find way	We must find a way to stop that .
tackle problem	tackle problem	We negotiated this in Johannesburg and we are now trying to tackle the problem .
find way	find way	I hope that we can find a way of making it legally valid .
shape strategy	shape strategy	In concluding , it seems to me that we need a long-term European strategy to know what we want before we can shape a transatlantic strategy and think on similar terms with the Americans .
tackle issue	tackle issues	In addition there is a need to ensure that research develops products which tackle health requirements as distinct from lifestyle issues .
follow religion	follow religion	Mr President , I should like to congratulate Mr van den Bos on his report , but may I state quite categorically that , in addition to freedom of religion , we must be equally committed to freedom of conscience and the freedom , as Mr Gahler said , not to follow any religion .
tackle issue	tackle issues	We need to understand - and I want to make a strong case for this - that capacity constraints are an essential part of how we deal with the ability of developing countries to tackle the trade issues that they face at this time , in bilateral , regional , and multilateral negotiations .
mount campaign	mounted campaign	Opponents of the directive have mounted a very vocal and , at times , even personal campaign based on half-truths and misconceptions which play on legitimate concerns over competitiveness , especially for smaller firms .
find way	find ways	We have had to find legally sound ways to extend those provisions up to 2007 , in cooperation with our friends and colleagues on the Committee on Budgetary Control .
tackle problem	tackle problem	A second problem highlighted by Mr Andersson , and one that we really have to redouble our efforts to tackle , is the need to raise the effective retirement age , not the statutory retirement age .
break cycle	broken cycle	The deadly cycle of attack and reprisal has to be broken .
break cycle	break cycle	It will get time if there is no violence , and I believe the international force could break the cycle of violence .
tackle issue	tackled issue	It has actually tackled this issue as we asked it to do .
tackle issue	tackling issues	We thank the Commission for tackling those complex issues we did not at first expect .
tackle issue	tackle issues	Mr Davies has already mentioned that there are some technical issues that we still have to tackle .
tackle issue	tackle issue	That is the right way to tackle this issue .
tackle problem	tackling problems	If you tackle that you are tackling the socio-economic problems , instead of going at it in the opposite direction .
find way	find way	We need to find a way of getting the money to the people who are actually going to do some good with it .
find way	find way	Commissioner Patten has repeatedly contacted the Sri Lankan Prime Minister Wickremesinghe by telephone encouraging him to find a way to return to constructive and functional co-habitation with President Kumaratunga .
find way	find way	But how can we compromise , how can we find a way out between two radically different solutions ?
tackle problem	tackle problem	Mrs de Palacio , when we discussed the Liberalisation Directive , we as a Parliament said that we should tackle this problem under the EU Treaty .
tackle problem	tackle problem	We should mount a strong front to tackle the problem of criminal acts driven by greed .
shape strategy	shape strategy	It is perfectly possible to retain the integrity of the Common Foreign and Security Policy , and the relationship with the Council and Member States while , at the same time , drawing on all the competences for which the Commission is responsible and which , taken together , should give us a real possibility to shape an external actions strategy which meets the demand of the 21st century .
tackle problem	tackle problem	As the last speaker said , whilst there is corruption , mismanagement , fraud and bad governance , we have to tackle the problem of poverty in Africa .
tackle challenge	tackle challenges	Our overriding approach as a presidency will be to support African-led initiatives to tackle the enormous challenges the continent faces .
tackle challenge	tackle challenges	We must tackle these challenges and embrace these opportunities together , united by our shared interest in the success of the Union .
tackle issue	tackled issue	Taoiseach , there are those who contend that the only truly important issue to be tackled under the sixth Irish presidency of the European Union is that of the completion of the IGC , the issue of the Constitution .
close debate	closed debate	Thank you , Commissioner.The debate is closed.The vote will take place on 29 January 2004 .
tackle problem	tackle problem	Having said that , the manner in which we tackle that problem is not all that obvious .
drop rate	dropped rates	Here in Europe , your birth rates and death rates have dropped dramatically .
tackle issue	tackle issue	It would be sensible to think about measures to tackle this issue and we clearly agree with Mr Katiforis on this .
tackle issue	tackled issues	I believe that great credit is due to the Commission , in particular Commissioner Byrne , for systematically putting forward a series of legislative proposals which aim to address each of the issues that needed to be tackled to guarantee our consumers a safe and traceable product , from farm to fork .
tackle issue	tackle issue	The forthcoming session of the Commission on Human Rights will provide a further opportunity to tackle the issue of human rights and terrorism , and to build on the endorsement by the Third Committee of the proposal that the UN High Commissioner for Human Rights should examine the protection of human rights when fighting terrorism .
tackle issue	tackled issue	No democrat could , or would , fear the prospect of multiple debates , but clarity and rigour in all discussions would obviously be served best by ensuring that each salient issue is tackled on its own terms and merits .
drop rate	dropping rate	We have seen GDP growing by almost 5 % , the rate of inflation dropping significantly , a surge in foreign investment and a major cut in unemployment levels .
close debate	closed debate	-- Thank you very much , Commissioner.The debate is closed.The vote will take place tomorrow , Wednesday , at 12 noon .
tackle challenge	tackled challenges	My colleagues agreed with my proposal that discussions should be on two overarching themes -- sustainable growth and employment -- as the key challenges needed to be tackled urgently .
grasp point	grasp point	If we fail to grasp this essential point we shall destroy ourselves , disinherit our children and betray Europe and our own countries .
find way	find ways	As I have been saying for the last five years , we have to find better ways of getting ministers who sign up to these agreements to keep to their word .
tackle concern	tackle concerns	Establishing an EU coastguard would be a tangible way of doing this because it would tackle the real concerns of those we represent .
tackle challenge	tackle challenges	The nature of the agreement on the next funding round will have a critical impact on how the Union equips itself to tackle forthcoming challenges , including those most relevant to the quality of life and economic prospects of our citizens .
find way	found way	However , irrespective of how complex the issues are or how sensitive they are , if there is a political will , a way will be found to resolve those conflicts and sensitive issues .
find way	find way	You were able to find a way for those countries to ensure that their vital national interests were not overturned or upset , in particular as regards the doctrine of conferral within that Treaty , clarifying the issues of subsidiarity and proportionality , as well as ensuring the continuation of equality between all Member States and in the application of the rules .
tackle problem	tackle problem	A key issue in this respect is increased cooperation between port authorities in order to tackle , among other things , the problem of port hopping .
break cycle	broken cycle	If the cycle of violence can be broken , Europe can help train policemen , judges and teachers .
find way	find way	I would like the President-in-Office to reaffirm his commitment to continue this kind of process to find the best way of ensuring that people know exactly what we do and what we do not do at European level .
find way	find way	We need to find a way to give the Palestinian Authority more political room for manoeuvre and to do this in return for cast-iron guarantees on security and reform .
drop rate	drop rates	Provided that there are no further significant shocks to prices , annual inflation rates should drop below 2 % in the course of 2005 .
find way	find way	Therefore we have to find some way to allow the procurement to begin before the crisis-management operation is formally adopted so that the supplies are available as soon as the operation starts , or very shortly thereafter .
fuel growth	fuel growth	In Ireland , social spending cuts provide money to fuel economic growth .
find way	find ways	We have to ensure not only that we implement Kyoto -- which , as we know , will do nothing to combat climate change but will simply slow down the process -- but also that we involve developing nations , raise the targets and find ways of changing public policy in ways that are politically acceptable and involve the United States .
close case	closed case	When a friendly solution was not possible , the case was closed with a critical remark or a draft recommendation was made .
tackle problem	tackle problems	We also have neighbours and we need to better structure our relationship with them , to tackle common problems and promote stability .
tackle issue	tackled issues	A simplifying treaty could have tackled the real issues : relative economic decline , fraud and waste , and greater involvement of national parliaments in the decision-making processes .
tackle problem	tackling problem	The poverty - reduction approach through EU development cooperation is a sound basis for tackling the problem as it gives priority to equitable growth and to better access to education .
tackle task	tackle tasks	The Commission 's priority today is to listen to your views , answer your questions and agree on how we can best tackle the two main tasks we now face , namely how to turn our conditional pledge rapidly into concrete money on the budget , and then to turn those funds into effective reconstruction programmes on the ground that will help people rebuild their shattered lives .
find way	find way	We need to find a way to bring all the actors together in what we have called a partnership agreement , because I am certain that if , with the arrival of the US President , the opportunity is taken by the incoming administrations on both sides to shape a new strengthened transatlantic partnership , we all will be beneficiaries .
close debate	closed debate	The debate on Ukraine is closed .
break cycle	broken cycle	Since there are signs that the cycle of violence between the two sides can be broken , we have to do everything we can to consolidate the ceasefire and secure withdrawal from Gaza , and then move forward with the roadmap for a two-state solution .
tackle issue	tackle issues	How can we tackle more successfully such issues as education , employment , gender equality , democracy , the free movement of persons , and migration rights ?
tackle issue	tackling issue	Mr President , I would like once again to congratulate this Parliament and the Commission on tackling the issue of Tibet .
find connection	find connections	They can not find their connections unless they know them personally .
tackle issue	tackled issue	Parliament has rightly pointed out a number of levels on which the issue can be tackled .
tackle problem	tackle problems	It is illogical to use different strands of the cohesion policy to tackle their socio-economic problems .
close debate	closed debate	When the debate with the Greek authorities is closed I will be able to inform you in writing what programmes have been affected and to what extent .
tackle crisis	tackling crises	In line with the international community , the European Union feels that these agreements offer an initial platform for tackling the various crises besetting Sudan , thereby providing a comprehensive and lasting solution to Sudan 's various crises , Darfur among them .
find way	find way	I have little doubt that the report will eventually pass through this place and find its way onto the statute books of every Member State .
find way	find way	Mr President , I would like to praise the Commission -- or some Commissioners at any rate -- for having produced , on 18 May , a paper from which I shall now quote : ` We must bring more light to bear on the way we work and find new ways to reconnect with the European public . '
find way	find ways	We deeply regret this and will try to find other ways to increase cooperation between Member States .
break relationship	break relationship	The new convention should also be asked to break the rigid relationship between the first , second and third parts and to create a proper hierarchy between them , so that in Part III the policies become distinctly subsidiary to Part I .
find way	find way	We must find a way because we can not afford to lose the reforms contained in this Constitution .
tackle problem	tackling problem	I know it is very complicated and difficult , but very rarely do we hear any details of what is happening on the ground in these parts of the world and how we are tackling the serious problem of children with HIV and AIDS .
tackle problem	tackling problem	I equally share your view that the efforts of social partners and civil society are absolutely necessary in tackling the problem of poverty and social exclusion .
close case	close case	The Commission has acted by deciding to open an infringement procedure and acted again by deciding to close the case when it received a satisfactory answer from the UK authorities .
close debate	closed debate	You are always welcome in the European Parliament.The debate is closed.The vote will be on Tuesday .
close debate	closed debate	-- The debate on this item is closed .
tackle problem	tackling problem	In Ireland , as in many other places , we can not begin to deal with the problem of deteriorating human health or clean up our environment without tackling the problem of old mines and the waste that was left behind when the mines were closed and the mining companies dissolved .
tackle problem	tackle problems	The first is that in our globalised world no single nation can tackle these problems alone , even in its own country .
find way	find ways	This issue is extremely complex but I hope in the light of the adoption of this report the institutions can cooperate to find continuing effective ways to protect our young people .
tackle issue	tackle issues	This assistance will not , however , achieve its desired results unless Israel and the Palestinian Authority tackle such important issues as movement of people and goods between Gaza and the West Bank and the outside world , the greenhouses , operation of the border terminals , the dismantling and removal of settlers ' homes and movement of people within the West Bank .
tackle issue	tackling issues	However , I think anybody who was present in this Chamber this morning and had the opportunity to hear the UK Home Secretary speak , again on behalf of the Presidency , in relation to data protection measures , would have a very clear understanding as to the importance that we attach to the service that can be provided by data protection measures , and the need for a transnational approach to tackling not just issues such as people trafficking and organised crime , but also the pressing threat of international terrorism .
tackle issue	tackled issues	There is no reason why every single institution should not take a hard look at itself to determine what the most important issues to be tackled are and how legislation can be improved and made more relevant to the people .
find way	find way	We need to find a pragmatic way to ensure a smooth legislative conclusion to the comitology provisions in the Capital Requirements Directive .
find way	find way	We must continue to find ways of cooperating with China and if each side of the relationship tries hard enough to understand and accommodate the basic concerns of the other , by looking ahead in a proactive way , the future is bright .
tackle point	tackle point	The final related point , beyond today 's agenda but which we will eventually need to tackle , is how to improve conditions for young people to settle in another EU country .
absorb material	absorb material	Like most RNA viruses , it reproduces sloppily , its genes readily fall apart , and it can absorb different genetic material which recombines in a process called reassortment .
tackle crisis	tackled crisis	-- Mr President , I agree with everybody who has said that we are facing a veterinary crisis which must be tackled urgently .
tackle problem	tackle problem	The Highly Indebted Poor Countries Initiative achieved moderate success in tackling debt relief for the 42 poorest countries in the world , but this was only an initial effort by the developed world to tackle the problem of debt relief itself .
tackle issue	tackle issue	First of all we must disseminate the importance of digital switchover ; secondly , we must sensitise our colleagues to its fundamental economic importance and , thirdly , we must start to tackle politically the issue of how we deal with spectrum allocation and the digital dividend .
find way	find way	Arbitration has obviously been a failure , but the Commission must try to ensure that the trade can continue until such time as you , in conjunction with the Development and Trade Commissioners , can find a viable way of ensuring that other sources of income can be found for poor farmers in the Windward Islands so that they continue to have a future .
tackle issue	tackle issue	It is great to see all the members of your Commission here , but we want to see you working much better together , in more integrated policy-making , in order to tackle that crucial issue that you yourself put at the top of your agenda , which is that of competitiveness , jobs and growth in Europe .
tackle issue	tackle issue	There are encouraging signs that the next G8 presidencies -- Russia and Japan -- fully intend to do so and I have every confidence in the EU 's continued determination to tackle this vital issue .
tackle issue	tackle issue	I remain deeply concerned that the United States continues to choose to tackle the climate change issue through unilateral activities .
tackle problem	tackling problem	As I travel to Montreal next month as part of the European delegation , I look forward to seeing the global players face the reality of this year and work together as partners in tackling this extremely important global problem .
tackle problem	tackling problem	In relation to China , we also see an important focus on the development and demonstration of near-zero emissions power generation , and I agree with Mrs Beckett that carbon capture and storage is one of the means of tackling the problem of climate change .
mount campaign	mount campaign	Finally , we must mount a serious campaign at the United Nations for sanctions against Burma .
fuel growth	fuel growth	Real export growth of 9 % helped it to grow by 4 % , but a successful DDA tackling barriers to trade will continue to fuel world growth for years to come .
find way	find way	We all agree that we need to find an effective way of making progress on services .
find way	finding way	In the tradition of British governments since 1972 , it is almost certain that Mr Blair will surrender the British national interest -- in this case the budget rebate -- while no doubt still finding a way of trumpeting it as a triumph of diplomacy .
break contract	breaking contract	Limiting that support today means breaking the contract .
tackle problem	tackle problems	The new governments have demonstrated a real commitment to tackle these problems and we have seen some progress , but there is still a long way to go .
tackle issue	tackle issue	The government has begun to tackle this issue and we want to see this work stepped up .
tackle problem	tackled problem	The problem must be tackled with maximum consideration for the victims of trafficking so that they do not suffer a ` double punishment ' in the justice systems of EU countries .
tackle issue	tackle issues	That commitment remains valid ; when we are able to do so depends on Ukraine and perseverance in the reform process to tackle outstanding issues .
tackle challenge	tackle challenges	The policy of constant progress and small , continued and common steps in the EU-Ukraine relationship has proved to be successful over the past year since the Orange Revolution and will allow us to tackle the challenges ahead .
tackle challenge	tackle challenges	Higher participation rates for women will help tackle Europe 's demographic challenges , as well as increasing growth and productivity .
find way	find way	Again , we will all have to work together with the countries of origin , with the transition countries , with the European Union to find the right way of balancing out an internal and an external policy .
find way	find ways	We have worked together to find solutions and ways of joining all our efforts to provide enough evidence for the Court of Auditors to give an assurance that the transactions are reliable .
break contract	broken contract	Any state which fails in this task has broken the contract .
find way	find ways	The media are key players in communication policy and it is vital that public institutions at all levels of governance find innovative ways of working with the national , regional and local media .
find way	find ways	The EU needs to find new ways of working to ensure legitimacy of our decisions .
tackle situation	tackle situation	The Commission , at this stage , has taken all the necessary steps allowed by the Treaty in order to tackle this situation .
drop rate	dropped rate	Mr President , the European Union 's growth rate has been falling for years , and recently it has dropped below 2 % a year .
