Phrases	Anno	Sentences
résoudre difficulté	Literal	Le fait demeure que nous aimons tous les chemins de fer et que nous en reconnaissons tous la nécessité et que pourtant , l' industrie européenne des chemins de fer est confrontée à de graves difficultés que nous devons essayer de résoudre tous ensemble .
tenir compte de problème	Literal	La proposition de la Commission ne tient pas spécifiquement compte des problèmes de pollution de l' air dans les pays candidats à l' adhésion ; je pense qu' il est irresponsable , étant donné l' imminence de l' élargissement , que le Parlement n' ait reçu aucune informations concernant les niveaux de pollution au sein de pays tels que la Pologne ou la République tchèque , ainsi que l' évaluation des coûts et du temps nécessaire pour répondre aux nouvelles normes .
se pencher sur problème	Figurative	Après la guerre , il a travaillé de longues années à la mairie de Liverpool et s' est penché sur les problèmes de l' habitat de cette cité .
traiter problème	Figurative	Permettez -moi de signaler qu' il est primordial de traiter les problèmes qui importent vraiment aux yeux des citoyens européens , et pas seulement les problèmes d' ordre général , pas uniquement la grande politique , mais les vrais problèmes qui affectent leur vie .
donner conclusion	Literal	Deux questions ont été posées très clairement et je vais y répondre avant de donner ma conclusion .
investir ressource	Literal	Monsieur le Président , ainsi que l' ont déclaré plusieurs intervenants , il s' agit naturellement cette année de la première fois que nous traitons d' un budget établi sur la base des activités , l' idée étant que le budget devrait sensiblement mieux refléter les priorités politiques et que nous devrions pouvoir observer plus aisément les domaines dans lesquels nous investissons nos ressources .
enrayer problème	Literal	Il est vrai , comme vous l' avez remarqué , que la Chine est la principale source de cigarettes de contrefaçon , nous devons donc travailler en étroite coopération avec elle afin d' enrayer ce problème .
problème faire l’objet d’examen	Figurative	Ce problème fait actuellement l' objet d' un examen .
faire mise en garde	Figurative	Certes , nous pouvons et devrions agir , mais je voulais d' abord faire cette mise en garde .
régler situation	Figurative	Bien que j' éprouve une certaine affinité philosophique avec le sénateur Hollings et ses collègues , qui considèrent que les entreprises publiques détiennent des avantages cachés , parfois explicites , par rapport à leurs concurrentes privées , la manière dont le Congrès américain tente de régler la situation est contraire tant à l' esprit qu' à la lettre des engagements multilatéraux des États-Unis .
résolution de problème	Literal	J' admets toutefois que la résolution de ce problème nécessite une action permanente , que nous devons sans cesse formuler de nouvelles propositions et chercher de nouvelles ouvertures , car il est certain que les échanges internationaux profiteront à l' économie mondiale ; et c' est ce dont a besoin la majeure partie de celle-ci en ce moment .
redonner vie	Figurative	Si Pörtschach peut redonner vie à la vision d' une Europe unie en montrant le chemin vers ses trois concepts - paix , prospérité et sécurité - , elle fixera alors un calendrier à la fois nouveau et pertinent pour les années à venir .
parvenir à fin	Figurative	Si nous nous sommes réjouis , la nuit dernière , à l' annonce américaine d' un moratoire de six mois , nous n' en sommes pas moins farouchement opposés à cette législation en principe et tenons à dire que ce n' est pas en tyrannisant leurs alliés que les Américains parviendront à leurs fins .
résoudre question	Literal	Il existe divers systèmes dans les différents États membres et nous n' arrivons pas toujours à tomber d' accord sur une approche commune , mais au moins le premier pas sera fait et de nombreuses questions , comme celles concernant l' information des patients et d' autres aspects des droits des patients , seront résolues dans le cadre de l' initiative concernant les soins de santé .
organiser exposition	Literal	Les députés de cette Assemblée ne me contrediront pas si je dis qu' il est courant pour les présidences du Conseil d' organiser une exposition à caractère culturel , social ou historique dans la partie du bâtiment Justus Lipsius réservée aux conférences .
chercher issue	Literal	Nous devons continuer à chercher une issue dans le brouillard .
s' occuper de problème	Literal	Qu' ils s' occupent aussi des problèmes du secret bancaire et des paradis fiscaux qui offrent une couverture au blanchiment d' argent .
aborder problème	Literal	La Commission ne peut accepter cet amendement vu qu' il réduirait la flexibilité dont certains États membres ont besoin afin d' aborder des problèmes environnementaux urgents .
émettre critique	Literal	Mme Kauppi a , quant à elle , émis une critique concernant le coût des signatures électroniques , notamment pour les petites et moyennes entreprises .
mettre au point	Figurative	L' organe chargé de l' élaboration de la charte devra mettre au point un texte qui a une réelle portée politique tout en pouvant être inséré dans le Traité .
façonner résultat	Figurative	Comme l' a gentiment rappelé le président , j' ai visité toutes les capitales et chaque état membre a été entendu et a contribué à façonner le résultat .
promouvoir débat	Figurative	Nous devons promouvoir le débat le plus vaste possible .
causer réaction	Literal	"Sur l' étiquette des produits cosmétiques contenant un des 26 allergènes parfumés doit figurer l' avertissement : "" peut causer une réaction allergique "" ."
favoriser économie	Literal	Tandis que des gouvernements nationaux procèdent à des réductions drastiques avec , dans certains cas , une vision à court terme , le budget de l' UE peut offrir une stabilité et une planification à long terme , contribuant ainsi - par l' intermédiaire de fonds tels que les fonds structurels et les fonds de cohésion - à créer des emplois , proposer des formations professionnelles et favoriser les économies européennes grâce à la reprise , notamment en fournissant des fonds aux régions défavorisées les plus durement touchées .
investissement de argent	Literal	Ces dispositions , telles qu' elles sont rédigées , rendraient quasiment impossible pour une compagnie d' assurance ou une banque l' investissement de l' argent des fonds de pension dans d' autres institutions financières , en raison de la rigueur des déductions .
générer débat	Literal	Avec le livre vert , la Commission a l' intention de générer un débat sur l' utilisation d' instruments de défense commerciale en Europe : mesures de compensation , antidumping et de sauvegarde .
avancer idée	Figurative	J' ai accueilli avec intérêt les idées avancées sur la possibilité d' offrir des navires de pêche de la Commission - ou plutôt , des flottes de l' Union européenne - aux communautés des pays affectés .
réexaminer question	Literal	Sur la demande du Conseil , la Commission prépare une communication sur les retards et la congestion du trafic aérien et réexaminera certainement cette question et proposera des initiatives dans le domaine de la gestion de l' espace aérien .
traitement de sujet	Literal	Les initiatives de l' article 185 jouent un rôle prépondérant dans le traitement de ces sujets clés .
stimuler économie	Figurative	Les industries artisanales locales ont de grandes possibilités de stimuler les économies locales .
organisation de exposition	Literal	Permettez -moi de remercier la Commission pour ce programme et Mme Perez Latorre en particulier pour l' aide qu' elle a apporté dans l' organisation de cette exposition .
faire observation	Literal	Des mesures disciplinaires , je ne le pense pas , mais je vous promets de tenir le plus grand compte des deux observations que vous avez faites , à la fois pour les zones non fumeurs et pour l' attitude vis-à-vis de nos huissiers .
répondre à préoccupation	Figurative	Afin de répondre à quelques-unes des préoccupations exprimées par le Parlement européen et les États membres - par exemple , en ce qui concerne la sécurité - plusieurs amendements ont été introduits dans le texte initial .
suggérer idée	Literal	Y est notamment suggérée l' idée d' une directive-cadre relative aux pratiques commerciales déloyales .
trouver réponse à problème	Figurative	Monsieur le Président , la confiance des citoyens en l' Union européenne dépend pour beaucoup de la manière dont l' Union européenne réussit à trouver une réponse aux problèmes réels de la vie quotidienne des gens .
vendre drogue	Literal	Il ne sert à rien de venir dans cette enceinte parler de propositions aux idées larges , si c' est pour voir , autour de nous , des jeunes mourir de toxicomanie , tandis que ceux qui importent et vendent ces drogues s' en tirent sans problèmes .
investir somme	Literal	Je suis ravi et soulagé de la réponse du commissaire , car j' ai été interpellé par des détaillants européens qui ont investi des sommes colossales en Asie , ont amélioré les conditions sanitaires et de sécurité ainsi que les conditions de travail dans les pays asiatiques et apportent des bénéfices économiques à la fois aux travailleurs asiatiques et aux détaillants européens .
multiplier intervention	Figurative	Je me demande si ceux qui ont multiplié leurs interventions sur cette question au cours des votes successifs dans des sessions plénières successives ne cachent pas une motivation politique .
conclure débat	Literal	J' aimerais vous rappeler que le rapport Raimon Obiols i Germà et Charles Tannock sera soumis au vote demain matin , et que les textes présentés pour conclure le débat sur les déclarations du Conseil et de la Commission seront soumis au vote a Bruxelles le 29 novembre 2007 .
faire face à besoin	Figurative	Ces ONG feront face au besoin le plus urgent , à savoir déplacer les personnes en danger vers des zones plus sûres , ainsi que fournir des soins de santé , de l' eau et des installations sanitaires .
ce qui est de question	Figurative	Pour ce qui est de la question de savoir s' il y a eu retard ou si la procédure en infraction parviendra plus tard à la Cour que ce n' aurait été le cas si on avait opté pour la lettre de mise en demeure , la première lettre envoyée par la Commission requiert normalement un délai de réponse de deux mois .
formuler commentaire	Figurative	Monsieur le Président , je m' associe à la plupart des commentaires formulés jusqu'à présent par Mmes McKenna et Maij-Weggen sur la situation en Birmanie .
retrouver confiance en lambeaux	Figurative	Et j' espère que la réforme que nous avons déjà tenté de promouvoir se poursuivra dans le futur , autrement , la confiance dans le gouvernement géorgien se retrouvera en lambeaux si la crise actuelle ne peut être résolue par des voies démocratiques .
trouver terrain d' entente	Figurative	La meilleure chose que le Parlement européen puisse faire aujourd’hui est d' encourager le Premier ministre Zapatero dans son effort de rassembler des peuples autrefois irréconciliables afin de trouver un terrain d' entente pour l' avenir du Pays basque .
aboutir dans	Figurative	Les drogues cultivées et produites en Afghanistan aboutissent dans les rues d' Europe .
prendre question en compte	Figurative	Le rapport soulève néanmoins des questions importantes qu' il faut prendre en compte si l' on veut que les efforts visant à améliorer la sécurité alimentaire soient poursuivis .
mettre fin au contrat	Literal	Cette situation a été aggravée l' été dernier par une décision prise à la lumière du rapport du comité d' experts indépendants et visant à mettre fin au contrat passé avec le bureau d' assistance technique qui participais à l' application de ce programme .
alimenter débat	Figurative	Monsieur le Président , je suis heureux que le commissaire ait compris que nous appelons à l' élaboration sans délai d' un Livre vert permettant d' alimenter un débat plus approfondi sur les propositions de la Commission .
comprendre remarque	Literal	La remarque que j' ai faite à Mme Gradin , et qu' elle comprend parfaitement , j' en suis sûr , surtout depuis que je l' ai expliquée en détail dans ma toute dernière lettre , concerne simplement cette réalité juridique et le fait que la Commission s' acquitte convenablement de ses fonctions en sa qualité d' organisation établie juridiquement et soumise aux obligations inscrites dans la loi sous la forme du Statut des fonctionnaires .
réponse à crise	Figurative	La réponse à la crise financière passe-t -elle par plus de régulation ?
porter sur question	Figurative	La mission qu' Eurostat prévoit d' envoyer en Bulgarie au cours du deuxième semestre de cette année ne portera pas sur les différences relevées ni sur les questions qui se posent à propos des perspectives 2010 .
