Phrase	Anno	Maj_anno	Sentence
Vertrag brechen	Figurative,Figurative,Figurative	Figurative	Herr Cook erklärte , der Vertrag sei von der früheren konservativen Regierung unterzeichnet worden und könne deshalb nicht gebrochen werden .
Konsum Droge	Literal,Literal,Literal	Literal	Während der Pirker-Bericht sich für verstärkte Strafmaßnahmen für den Drogenhandel , den Verkauf und den Konsum von synthetischen Drogen ausspricht , wollen die Grünen den Konsum von Drogen aus diesem Kontext streichen .
sich Problem zuwenden	Figurative,Literal,Literal	Literal	Ein zweites Problem , das von Herrn Andersson hervorgehoben wurde und dem wir uns verstärkt zuwenden müssen , betrifft die Notwendigkeit der Anhebung des effektiven Rentenalters , nicht des gesetzlichen Rentenalters .
sich Problem stellen	Figurative,Literal,Figurative	Figurative	Ich hoffe sehr , daß es sich die Fraktion der Sozialdemokratischen Partei noch einmal überlegt , daß sie den Kopf nicht in den Sand steckt und erkennt , daß wir uns diesem Problem stellen müssen und daß es besser ist , dies bereits jetzt zu tun .
Problem bewältigen	Figurative,Literal,Literal	Literal	Könnten Sie uns mitteilen , wie dieses Problem bewältigt werden soll ?
auf Kontakt zurückgreifen	Figurative,Figurative,Literal	Figurative	Die Polizisten können eben immer nur auf persönliche Kontakte zurückgreifen .
Vertrauen untergraben	Figurative,Figurative,Figurative	Figurative	Er würde den extremistischen Kräften Zulauf verschaffen und das Vertrauen in die Wirtschaft untergraben , und man würde damit nichts erreichen , was sich nicht auch auf anderem Wege erreichen ließe .
Bedenken entgegenkommen	Figurative,Literal,Figurative	Figurative	Um einigen vom Europäischen Parlament und den Mitgliedstaaten geäußerten Bedenken - zum Beispiel hinsichtlich der Sicherheit - entgegenzukommen , hat der ursprüngliche Text einige Änderungen erfahren .
Tagesgeldsatz senken	Literal,Literal,Literal	Literal	Die amerikanische Notenbank hat nun den Tagesgeldsatz auf 2,5 % gesenkt , das ist der tiefste Stand seit 39 Jahren .
Lösung des Problems	Literal,Literal,Literal	Literal	Das ist ein erster Schritt zur Lösung dieses Problems .
Abschluss Aussprache	Figurative,Literal,Literal	Literal	Dies ist eine ausgezeichnete Antwort zum Abschluss dieser Aussprache .
Idee im Umlauf sein	Figurative,Figurative,Figurative	Figurative	Es sind viele Ideen zu einem umfassenden Konzept für den Frieden im Nahen Osten im Umlauf .
Inangriffnahme Problem	Figurative,Figurative,Figurative	Figurative	Die Inangriffnahme einer Reihe struktureller Probleme des Landes und insbesondere politische , soziale und wirtschaftliche Reformen gehören ebenfalls zu den Schwerpunkten .
Spirale durchbrechen	Figurative,Figurative,Figurative	Figurative	Auf der wirtschaftlichen Seite muss der in New York präsentierte makroökonomische Rahmen konsequenter sein und mit einem klaren Weg in Richtung Beschäftigung und Wachstum kombiniert werden , wodurch die Spirale von Armut und Ungleichheit durchbrochen wird .
Zugang verschaffen	Literal,Literal,Literal	Literal	Wir schaffen dadurch eine Situation , in der sich ein Schiff , das Gefahrengut transportiert , Zugang zum Hafen verschaffen kann , indem diese Widersprüche zum eigenen Vorteil genutzt werden .
sich mit Angelegenheit befaßen	Figurative,Literal,Literal	Literal	Zusammengefasst bedeutet dies , dass der Bericht sich nicht wirklich mit der Angelegenheit befasst und Bruchstücke entlang den gegenwärtig existierenden Möglichkeiten zusammenträgt , um Kultur auf die Tagesordnung zu setzen , sowohl in der EU als auch in den Beziehungen zwischen der EU und Drittländern.
Aufbau Ausstellung	Literal,Literal,Literal	Literal	Lassen Sie mich der Kommission danksagen für dieses Programm und besonders auch Frau Perez Latorre für ihre Hilfe beim Aufbau der Ausstellung .
Aktivität verfolgen	Figurative,Literal,Figurative	Figurative	Diese Entwicklung sollte sich fortsetzen , und ich weiß , dass die Kommission die Aktivitäten des Bürgerbeauftragten weiterhin genau verfolgen und seine Vorschläge begrüßen wird .
Aufgabe sein	Literal,Literal,Literal	Literal	Aufgabe des Gremiums ist es , einen politisch bedeutsamen Text zu erarbeiten , der in den Vertrag aufgenommen werden kann .
Verbesserung Lage	Literal,Literal,Literal	Literal	Zur Verbesserung der problematischen Lage im Gesundheits - und Umweltsektor auf dem Balkan ist von der Kommission eine zweigleisige Strategie entwickelt worden .
Lösung Frage	Figurative,Literal,Literal	Literal	Die Einrichtung einer Behörde , die sich speziell mit Problemen der legalen und illegalen Einwanderung beschäftigt , könnte der Schlüssel für eine umfassende und vollständige Lösung all dieser Fragen sein .
Ankurbelung Wirtschaft	Figurative,Figurative,Figurative	Figurative	Stattdessen konnten kontinuierliche Fortschritte im Hinblick auf die Demokratie und Ihr Engagement sowie das Engagement Ihres Landes für die Herstellung gutnachbarlicher Beziehungen , die Achtung der Rechtsstaatlichkeit , die Ankurbelung der Wirtschaft durch Handel und Zusammenarbeit sowie die Arbeit auf der Grundlage des Rahmenabkommens von Ohrid verzeichnet werden .
Frage anpacken	Figurative,Figurative,Literal	Figurative	Sie hat diese Frage tatsächlich so angepackt , wie wir es im Sinn gehabt hatten .
Rahmen für die Debatte abstecken	Figurative,Figurative,Figurative	Figurative	Ganz wichtig ist , dass wir den künftigen Rahmen für die internationale Debatte nach 2012 abstecken müssen .
Ansatz finden	Literal,Literal,Literal	Literal	Es geht also darum , den richtigen Ansatz für zwei wichtige Anliegen zu finden : dasjenige der Freiheit und Achtung des Datenschutzes , aber auch dasjenige der Sicherheit , denn ohne Sicherheit kann es keine Freiheit geben .
Aussprache beenden	Literal,Literal,Literal	Literal	Ich werde die Aussprache beenden .
berufliche Entwicklung in Einklang bringen	Figurative,Figurative,Figurative	Figurative	Die Kommunikation zwischen Unternehmen und Verbrauchern ist besonderes für die älteren Bürger wichtig , die an das Haus gebunden sind , und für diejenigen mit familiären Pflichten , denen es Schwierigkeit bereitet , Hausarbeit und berufliche Entwicklung in Einklang zu bringen , also überwiegend Frauen .
Bewältigung Frage	Literal,Literal,Literal	Literal	Hinsichtlich der Anfrage an die Kommission zur Umsetzung des Abkommens über Visaerleichterungen EU-Russland , die ich im Namen der ALDE-Fraktion eingereicht habe , möchte ich erfahren , welcher Fortschritt bisher erzielt wurde und ob wir im Moment einen Durchbruch bei der Bewältigung technischer Fragen , wie den Anforderungen an Bürgerinnen und Bürger der EU , sich innerhalb von drei Tagen bei den Behörden zu melden , wenn sie sich in einem Privatquartier in Russland aufhalten , erwarten können .
Suche nach Möglichkeit	Figurative,Literal,Literal	Literal	Es bedarf eines grundlegenden rechtlichen Rahmens mit innovativen , nichtlegislativen Lösungen , und deshalb befürworte ich auch die von Frau Wallis unterbreiteten Vorschläge : die Prüfung des Potentials alternativer Streitbeilegungsmechanismen , von Trustmarks , das Propagieren von freiwilligen Verhaltensregeln für Kleinbetriebe sowie die Suche nach gegenseitig akzeptablen Möglichkeiten der Streitbeilegung .
Ungleichheit widmen	Figurative,Literal,Literal	Literal	Das bedeutet Partnerschaft auf allen Ebenen , um sich den größten öffentlichen Bedürfnissen und den größten Ungleichheiten auf dem Gebiet des Gesundheitswesens auf wirksamste Weise widmen zu können , nicht zuletzt im gegenwärtigen Prozeß der Erweiterung der Union , in dessen Rahmen ein weiterer dringend benötigter Kommissionstext ansteht .
sich mit Frage auseinander setzen	Figurative,Literal,Literal	Literal	Herr Davies erwähnte bereits , dass es einige technische Fragen gibt , mit denen wir uns noch auseinander setzen müssen .
Ursache in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Herr Schmitt sagte , und ich bin da voll und ganz einer Meinung mit ihm , dass die Mitgliedstaaten mehr tun müssen , um die Beseitigung der eigentlichen Ursachen in Angriff zu nehmen , die die Menschen veranlassen , Europa oder die Welt zu durchstreifen . 
etw. gegen Ursache unternehmen	Literal,Literal,Literal	Literal	Außerdem und vor allem muss Europa weit mehr tun , um etwas gegen die eigentlichen Ursachen zu unternehmen , die Menschen veranlassen , aus ihrem Heimatland zu flüchten und Asyl zu beantragen .
sich Herausforderung widmen	Figurative,Literal,Literal	Literal	Wird die Tagesordnung unseres Plenums künftig von verleumderischen Berichten in einer Sendung bestimmt , in der die Nachrichtenmeldungen auf Lügen beruhen , oder werden wir zu einer seriösen Tätigkeit zurückkehren und uns den Herausforderungen , die vor Europa liegen , widmen ?
Reform angehen	Figurative,Figurative,Literal	Figurative	Doch dazu muß die institutionelle Reform mit Schwung angegangen werden . Zweitens geht es um die bevorstehende Erweiterung der Union und drittens um die Erhöhung der Effizienz durch eine effektive Haushaltskontrolle und bessere Nutzung der Ressourcen .
Reaktion auf Veränderung	Literal,Literal,Literal	Literal	Wenn wir also in Genua über das Kyoto-Protokoll sprechen , muss das im Zusammenhang mit dem Klimawandel zu Maßnahmen und nicht zum Kollaps eines extrem wichtigen Vorhabens der internationalen Gemeinschaft zur Reaktion auf eine große Veränderung führen .
Bewältigung Wandel	Figurative,Literal,Literal	Literal	Wir müssen darüber hinaus weitere Maßnahmen zur Bewältigung des demographischen Wandels treffen und dazu einen integrierten Ansatz entwickeln , um sichere Renten für alle zu garantieren .
auf Problem hinweisen	Literal,Literal,Literal	Literal	Der amtierende Ratspräsident hat in seiner Rede auf einige dieser Probleme hingewiesen .
Bedenken Ausdruck verleihen	Figurative,Literal,Literal	Literal	Während ich also Herrn Viceconte zu seinem Bericht meine Anerkennung ausspreche und in der Entschließung viel Lobenswertes finde , werden wir in einer Reihe von Fällen eine getrennte Abstimmung beantragen , damit man den genannten Bedenken Ausdruck verleihen kann .
sich Bedenken annehmen	Figurative,Literal,Literal	Literal	Ich werde jedoch die von einigen von Ihnen geäußerten Bedenken in bezug auf Kosmetika und Pharmazeutika an meinen Kollegen Liikanen weiterleiten und ihn bitten , sich ihrer anzunehmen .
Bedenken berücksichtigen	Literal,Literal,Literal	Literal	Ich möchte jedoch darauf aufmerksam machen , dass erhebliche Bedenken und Befürchtungen in Bezug auf diese Initiative der Kommission , aber auch in Bezug auf den Bericht von Herrn Costa bestehen , obwohl ich der Meinung bin , dass viele dieser Bedenken im Ausschuss berücksichtigt wurden , in dem der Bericht von Herrn Costa große und parteienübergreifende Unterstützung gefunden hat .
Befürchtung analysieren	Literal,Literal,Literal	Literal	Wir müssen uns Zeit nehmen , um die komplizierten Probleme und Befürchtungen gründlich zu analysieren , die während der Debatte im Vorfeld des Referendums zu Tage getreten sind .
Sorge begegnen	Figurative,Figurative,Figurative	Figurative	Wie Sie von Interventionen in der Vergangenheit wissen , beraten wir in der Kommission darüber , wie wir diesen Sorgen besser begegnen können .
Bedenken Rechnung tragen	Figurative,Figurative,Literal	Figurative	Wir müssen endlich dafür sorgen , dass etwas unternommen wird , dass den Bedenken unserer Bürger und all jener , die sich um das Wohl der Tiere sorgen , durch ein vollständiges Vermarktungsverbot von an Tieren getesteten Kosmetika sowie ein Versuchsverbot Rechnung getragen wird .
Anliegen zum Ausdruck bringen	Figurative,Literal,Literal	Literal	Wie wir bereits gehört haben , hat die Delegation der Europäischen Union wichtige Ergebnisse erzielt und mit Präsident Kim Jong Il ein interessantes fünfstündiges Gespräch geführt , in dessen Verlauf sie ihre Anliegen zum Ausdruck bringen konnte .
Bedenken ausräumen	Figurative,Figurative,Figurative	Figurative	Ich glaube , dass wir nun eine vernünftige Lösung gefunden haben und hoffe , dass die im Ausschuss gebilligten Änderungsanträge , mit denen diese Bedenken ausgeräumt werden sollen , in der Abstimmung vom Parlament unterstützt werden können .
Problem zur Sprache bringen	Figurative,Literal,Literal	Literal	In diesem Bericht werden viele der gegenwärtigen Probleme des Fischereisektors zur Sprache gebracht . Die Wiederauffüllung der Kabeljau - und Seehechtbestände wird mit Sicherheit eine gewaltige Herausforderung darstellen .
Interesse zum Gegenstand haben	Figurative,Literal,Figurative	Figurative	Es ist eine spezielle Arbeitsstruktur eingerichtet worden , deren Aufgabe es ist , Hilfestellung bei der Erarbeitung konkreter Vorschläge zu leisten , die die Interessen der EU , insbesondere im Hinblick auf die Anwendung der Eigenkapitalvorschriften auf ein breites Spektrum von Instituten , unter ihnen kleinere Banken und Wertpapierfirmen , zum Gegenstand haben .
Auseinandersetzung mit Befürchtung	Literal,Literal,Literal	Literal	Wenn sich alle Beteiligten zu einer positiveren Haltung durchringen könnten , dann könnte sich diese Einigung zu einem wirksameren Mittel zur Auseinandersetzung mit den Befürchtungen aller Beteiligten entwickeln .
etw. gegen Krise tun	Literal,Literal,Literal	Literal	Jetzt steckt gerade die Agrarwirtschaft in der Krise , und dagegen muss etwas getan werden .
sich mit Thema auseinandersetzen	Figurative,Literal,Literal	Literal	Auch wenn ich mich seinen Schlußfolgerungen nicht anschließe , bin ich der Meinung , daß er in seinem Bericht viele der Themen erläutert , mit denen sich die Kommission auseinandersetzen muß .
sich mit Problem auseinandersetzen	Figurative,Literal,Literal	Literal	Es ist Aufgabe der europäischen Regierungen , einen konsequenten Standpunkt gegen Rassismus und Fremdenfeindlichkeit zu beziehen . Leider setzen sich Politiker und Behördenvertreter in ihren eigenen Kommunen nicht mit dem Problem des Rassismus auseinander .
sich mit Gefahr auseinandersetzen	Figurative,Literal,Literal	Literal	Wir müssen uns auch mit der Gefahr des Entstehens einer digitalen Scheidelinie in Europa auseinandersetzen .
sich Aspekt widmen	Figurative,Literal,Literal	Literal	Ich kann Sie nur nochmals auf den technischen Charakter des Kommissionsvorschlags verweisen und Sie bitten , bis zum Vorschlag für eine neue Richtlinie über Zusatzstoffe in Futtermitteln zu warten , der sich umfassend den inhaltlichen Aspekten widmen wird .
sich Frage widmen	Figurative,Literal,Literal	Literal	Unklar ist , wie die Kommission ethische Sicherheit von Dienstleistungen garantieren kann , doch teile ich voll und ganz die Auffassung , daß wir alle Maßnahmen ergreifen sollten , um die Achtung der Menschenrechte zu gewährleisten ; laufende Aktionen , in erster Linie der Aktionsplan Internet , widmen sich dieser Frage .
sich Thematik widmen	Figurative,Literal,Literal	Literal	Meine Fraktion ist der Auffassung , dass der Bericht in seiner jetzigen Form zwar nicht perfekt , aber dennoch ausgewogen , realistisch und objektiv ist und sich der vorgesehenen Thematik widmet , nämlich dem Transport radioaktiver Stoffe .
sich mit Thema beschäftigen	Literal,Literal,Literal	Literal	Mit diesem Thema werden wir uns im Anhang der Rechtsvorschrift beschäftigen . Es ist beabsichtigt , eine Positivliste für Futtermittel einzurichten .
sich mit Thematik beschäftigen	Literal,Literal,Literal	Literal	Es gibt ein ganzes Paket von Rechtsvorschriften zum Tierfutter , und das Weißbuch beschäftigt sich ebenfalls mit dieser Thematik .
sich mit Sachverhalt beschäftigen	Literal,Literal,Literal	Literal	Wir müssen uns mit zahlreichen komplexen Sachverhalten beschäftigen , doch ich möchte hier nicht das Vorankommen des fachgemäßen Vorschlags für die Druckhitzebehandlung von Wiederkäuerfett behindern .
sich mit Punkt befassen	Figurative,Literal,Literal	Literal	Soweit es die in meiner Verantwortlichkeit liegenden strafrechtlichen Ermittlungen betrifft , nehme ich die von verschiedenen Mitgliedern des Europäischen Parlaments an die Kommission und den Rat gerichtete Aufforderung zur Kenntnis , diesen Punkt zu berücksichtigen und sich mit ihm auf einer gemeinsamen rechtlichen Grundlage unter Verweis auf die Relevanz der Überwachung der Telekommunikation als mögliches Beweismittel vor Gericht zu befassen .
sich mit Thema befassen	Figurative,Literal,Literal	Literal	Wir müssen uns mit diesem Thema befassen .
um Thema gegen	Figurative,Literal,Literal	Literal	Das wichtigste Thema , um das es in diesem Jahr gehen wird , ist die Reform der Entscheidungsverfahren in der EU , um einen reibungslosen und systematischen Erweiterungsprozeß zu ermöglichen .
um Aspekt gehen	Figurative,Figurative,Literal	Figurative	Es geht hier eindeutig um wichtige Aspekte des Gesundheits - und Arbeitsschutzes , und zwar nicht nur der Arbeitnehmer , sondern auch ihrer Kunden und der Allgemeinheit , und die Gesundheit und Sicherheit der Abnehmer medizinischer Leistungen spielen gerade in bezug auf Ärzte in der Ausbildung eine ganz besonders wichtige Rolle .
Punkt ansprechen	Literal,Literal,Figurative	Literal	Ich möchte jetzt zu dem Punkt kommen , den Herr Davies angesprochen hat , nämlich unseren Ausgangspunkt .
Problem besprechen	Literal,Literal,Literal	Literal	Die schwierigsten Probleme für die Zukunft des Landes müssen erst noch besprochen werden .
Frage zur Sprache bringen	Figurative,Literal,Literal	Literal	Sollte der EU-Ratsgipfel in Laeken an diesem Wochenende lediglich die Frage der Grenzverstärkung als Reaktion auf diesen neuzeitlichen Sklavenhandel zur Sprache bringen , dann wird er nicht nur diese Werte missachtet haben , sondern auch seiner Führungsrolle nicht gerecht geworden sein .
sich Frage zuwenden	Figurative,Literal,Figurative	Figurative	Und schließlich möchte ich mich der Frage zuwenden , was passiert , wenn wir nicht das Personal und die Mittel erhalten , um diese Aufgabe bewältigen zu können .
für Problem nach Lösung suchen	Literal,Literal,Literal	Literal	Wir sollten gerade mit Blick auf die Haushaltsdisziplin das Recht haben , nach einer Lösung für dieses Problem zu suchen , denn solange wir das nicht tun , fragt sich die Öffentlichkeit natürlich irritiert , was wir denn an so vielen Orten zu suchen haben .
sich Angelegenheit annehmen	Figurative,Literal,Literal	Literal	Angesichts der Tatsache , dass dieser Vorschlag derzeit im Rat geprüft wird und sich die Kommission dieser Angelegenheit rechtzeitig annehmen möchte , bin ich jedoch der Meinung , dass die Kommission gegenwärtig am besten beraten ist , die vom Parlament vorgelegten Änderungsanträge nicht formal anzunehmen , sondern sie im Verlauf der Verhandlungen im Rat so weit wie möglich zu berücksichtigen .
Angelegenheit klären	Figurative,Literal,Literal	Literal	Angelegenheiten , die unter die zweite Säule fallen , sind von den Mitgliedstaaten zu klären , aufgrund unserer damit in Zusammenhang stehenden Pflichten gemäß Säule I haben wir jedoch ein Interesse daran .
Aufgabe in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Dieser Bericht ist sehr praktisch ausgerichtet , er schlägt Maßnahmen vor , die ganz konkrete Schritte enthalten , um diese schwierige Aufgabe in Angriff zu nehmen .
Klärung Frage	Figurative,Literal,Literal	Literal	Dieser Bericht ist sehr praktisch ausgerichtet , er schlägt Maßnahmen vor , die ganz konkrete Schritte enthalten , um diese schwierige Aufgabe in Angriff zu nehmen .
Richtlinie zur Problematik	Literal,Literal,Literal	Literal	Es ist sogar so , daß diese Richtlinie - wie viele andere Richtlinien zur Umweltproblematik auch - nicht gut ist .
Problem regeln	Literal,Literal,Literal	Literal	Ausgehend von der Frage unseres polnischen Kollegen möchte ich Kommissar McCreevy fragen , ob er so wie ich der Ansicht ist , dass es sich dabei um genau die Art von Problem handelt , die der Vorschlag für eine Richtlinie über Dienstleistungen im Binnenmarkt umfassend regeln wird .
Regelung Frage	Literal,Literal,Literal	Literal	Mit der in der jetzigen Form vorliegenden Frequenzentscheidung wird vor dem Hintergrund der entsprechenden Bereiche der Gemeinschaftspolitik ein allgemeiner und dauerhafter Rechtsrahmen zur Regelung der Frequenzpolitik sowie von Rechtsfragen geschaffen .
Frage nachgehen	Figurative,Literal,Figurative	Figurative	Insbesondere wurde der Frage der langen Anwartschaftszeiten , den Schwierigkeiten bei der Übertragbarkeit erworbener Pensionsrechte und den Steuerschwierigkeiten nachgegangen , die mit dem Erwerb von Pensionsrechten in mehr als einem Mitgliedstaat einhergehen .
Argument nachgehen	Figurative,Literal,Figurative	Figurative	Der Ausschuss ist einigen von der Industrie vorgebrachten fadenscheinigen Argumenten nachgegangen , wie dem eines möglichen gesundheitlichen Nutzens neuer Produkte , die nach Ansicht der Industrie als Arzneimittel neu eingestuft werden könnten .
zu Thema sprechen	Literal,Literal,Literal	Literal	Frau Präsidentin ! Ich möchte zum selben Thema sprechen .
über das Handeln	Literal,Literal,Literal	Literal	Meine Fraktion ist besonders angetan von den kreativen Möglichkeiten , die Sie im Hinblick auf ein möglicherweise im Frühjahr erscheinendes Weißbuch über das Regierungshandeln aufzeigen .
auf Punkt verweisen	Figurative,Literal,Figurative	Figurative	Allerdings möchte ich auf einen besonderen Punkt verweisen , den weder die Kommission noch wir alle mit dem notwendigen Nachdruck verfolgen : die Belastung aufgrund von Rechts - und Verwaltungsvorschriften .
zu Lösung Problem beitragen	Literal,Literal,Literal	Literal	Leider kann ich in meiner Eigenschaft als Schattenberichterstatter viele der Änderungsanträge von Herrn Ceyhun nicht unterstützen , weil ich der Auffassung bin , dass diese nicht zur Lösung dieser Probleme beitragen , sondern sie im Gegenteil noch verschärfen werden .
Problem anstehen	Figurative,Literal,Figurative	Figurative	Wir müssen auch bedenken , dass noch weitere Probleme anstehen
Aspekt Aufmerksamkeit schenken	Figurative,Figurative,Figurative	Figurative	In enger Zusammenarbeit ist durch die Fluggesellschaften der Europäischen Union , Verbrauchergruppen und Flugpersonal zu garantieren , dass den gesundheitlichen Aspekten des Flugverkehrs vollste Aufmerksamkeit geschenkt wird .
Beachtung verdienen	Literal,Figurative,Figurative	Figurative	Ich bin nicht unbedingt davon überzeugt , dass dies wirklich der Fall ist , aber es scheint einige Anhaltspunkte dafür zu geben , und auch dieser Sachverhalt verdient ganz offensichtlich Beachtung .
Anliegen aufgreifen	Figurative,Figurative,Figurative	Figurative	Herr Präsident ! Ich halte es für außerordentlich wichtig , dass in den Haushaltsleitlinien bedeutsame Anliegen aufgegriffen werden .
Punkt berücksichtigen	Figurative,Literal,Literal	Literal	Die drei Hauptgesichtspunkte des Vorschlags sowie zahlreiche aus der ersten Lesung stammende Vorschläge des Parlaments wurden im Gemeinsamen Standpunkt ausreichend berücksichtigt .
Thema außer Acht lassen	Figurative,Figurative,Figurative	Figurative	Wir können es uns nicht leisten , diese Themen außer Acht zu lassen .
Prozess einer Lösung zuführen	Figurative,Literal,Figurative	Figurative	Ausgehend davon , dass dieser Vorschlag derzeit vom Rat geprüft wird und die Kommission diesen Prozess einer alsbaldigen Lösung zuführen will , wäre es meiner Meinung nach zum jetzigen Zeitpunkt am sinnvollsten , wenn die Kommission die vom Parlament vorgelegten Änderungsanträge formell nicht befürwortet , sondern versucht , sie im Rahmen der Verhandlungen mit dem Rat weitestgehend zu übernehmen .
auf Problem Maßnahmen ergreifen	Figurative,Figurative,Figurative	Figurative	Das war im Herbst , und man hat mir versichert , daß die französischen Behörden einschneidende Maßnahmen in bezug auf die Probleme , auf die sie aufmerksam gemacht wurden , ergriffen haben .
sich mit Angelegenheit befassen	Figurative,Literal,Literal	Literal	Zu der Frage von Frau Lynne bezüglich der Interimszahlungen : Mit dieser Angelegenheit könnte sich sehr gut das Parlament befassen , da dieses Thema den Haushalt betrifft .
sich Verbesserung zuwenden	Figurative,Literal,Literal	Literal	Als erstes möchte ich mich der Verbesserung des geltenden Strafrechts in den Mitgliedstaaten zuwenden , soweit es den Handel mit Menschen zwecks sexueller Ausbeutung als strafbares Verbrechen betrifft .
sich Angelegenheit widmen	Figurative,Literal,Literal	Literal	Die Europäische Behörde für Lebensmittelsicherheit wird sich dieser Angelegenheit widmen müssen .
Not lindern	Literal,Literal,Figurative	Literal	Diese NRO werden die größte Not lindern , d. h. sie werden Menschen , die sich in Gefahr befinden , in sicherere Gebiete bringen und für die medizinische Versorgung , für Wasser und bessere hygienische Bedingungen sorgen .
es geht darum	Figurative,Literal,Figurative	Figurative	Wie Sie sich jedoch vorstellen können , geht es auf diesem neuen Gebiet darum , die Sicherheit auf der Grundlage des Subsidiaritätsprinzips zu stärken , daß heißt , wir müssen anerkennen , daß jeder Mitgliedstaat das Recht hat , seine eigenen nationalen Rechtsvorschriften zu erlassen , um die Strafverfolgung auf einzelstaatlicher Ebene zu regeln .
auf Bedürfnis bedenken	Figurative,Figurative,Literal	Figurative	In Artikel 7 Absatz 4 Buchstabe e heißt es , man sei auf die Bedürfnisse spezieller sozialer Gruppen , insbesondere der behinderten Menschen , bedacht .
Bedürfnis bestimmen	Figurative,Literal,Figurative	Figurative	Bei Tschernobyl ist ein wesentlicher Teil der Hilfe für die Umwandlung des Sarkophags in ein umweltsicheres System und für soziale Bedürfnisse bestimmt .
Bedürfnis Rechnung tragen	Figurative,Figurative,Figurative	Figurative	Mit diesen Entscheidungen zum Hurrikan Michelle und zur Überschwemmung in Algerien unterstreicht die Kommission ihre Entschlossenheit , den Bedürfnissen der Opfer humanitärer Katastrophen , wann immer sie auftreten , Rechnung zu tragen .
Punkt aufgreifen	Figurative,Figurative,Figurative	Figurative	Ein Jahr ist Zeit genug , um eine große Anzahl von Fragen in Angriff zu nehmen , und dürfte auf jeden Fall ausreichen , um die wenigen entscheidenden Punkte aufzugreifen , die wir der Tagesordnung hinzufügen möchten .
auf Punkt eingehen	Figurative,Literal,Literal	Literal	Ich möchte Sie bitten , später in Ihrer Stellungnahme auf diese Punkte einzugehen .
auf Aspekt eingehen	Figurative,Literal,Literal	Literal	Die Frage , ob die breite Öffentlichkeit oder die `` betroffene Öffentlichkeit '' an der Entscheidungsfindung beteiligt werden sollte , ist ein Schlüsselaspekt , auf den viele Abgeordnete in ihren Redebeiträgen bereits eingegangen sind .
sich zu Punkt äußern	Literal,Literal,Literal	Literal	Ich bitte Herrn Solana , sich zu diesem Punkt zu äußern , falls er zu dieser Aussprache Stellung nimmt .
sich Problematik annehmen	Figurative,Figurative,Literal	Figurative	Ich ersuche das Parlament , die Kommission und den Ministerrat , sich dieses Problems anzunehmen .
sich mit Problem beschäftigen	Literal,Literal,Literal	Literal	Die Kommission beschäftigt sich mit einer Reihe der Probleme , die Sie gerade ansprechen .,Die Kommission beschäftigt sich mit einer Reihe der Probleme , die Sie gerade ansprechen .
bei der Suche nach einer Lösung ansetzen	Figurative,Literal,Literal	Literal	Man muss bei der Suche nach einer Lösung bei der derzeitigen Lage der Jugendlichen ansetzen .
Problem Priorität einräumen	Figurative,Figurative,Figurative	Figurative	Die schwedische Regierung hat klargestellt , dass sie während ihres Ratsvorsitzes in der Union den Kernproblemen wie der Erweiterung der Union , der Beschäftigung und der Umwelt Priorität einräumen wird .
sich auf Problem beziehen	Figurative,Literal,Literal	Literal	Änderungsantrag 16 bezieht sich auf dieses Problem , auf das ich nicht nur von den Flugbegleitern selbst , sondern auch von einigen Fluggesellschaften aufmerksam gemacht wurde .
Problem greifen	Figurative,Figurative,Figurative	Figurative	Ich möchte Sie zudem bitten , sich nochmals mit dem Problem der skandalösen Ausbeutung junger afrikanischer Fußballer zu beschäftigen , da ich den Eindruck habe , dass das Verbot des Vereinswechsels hier nicht greift .
Problem ansprechen	Literal,Literal,Figurative	Literal	Daher möchte ich heute Abend nur ein meiner Ansicht nach wichtiges Problem ansprechen , dem man sich kurzfristig zuwenden muss , und zwar geht es um die Frage unseres Einflusses auf die Entwicklung des elektronischen Geschäftsverkehrs bei der Nutzung dieser Instrumente und somit um grundlegende Fragen für diesen Geschäftsbereich , bei deren Beantwortung einige Abgeordneten eine einseitige Richtung vorgeben wollen , indem sie sich - meiner Meinung nach verfrüht - auf das strenge Opt-in-Konzept zubewegen , von dem sie reden .
Problem aufwerfen	Figurative,Figurative,Figurative	Figurative	Auch haben wir der Kommission im März 2001 eine Entschließung zu Narkotika vorgelegt , in der das Problem der Abzweigung von Vorprodukten für synthetische Drogen aufgeworfen wird , und dieser Vorschlag hat breite Unterstützung gefunden .
Beseitigung von Problem sicherstellen	Figurative,Literal,Literal	Literal	Eine systematischere Nutzung der Länderstrategiepapiere wird die bessere Anwendung der Gemeinschaftsinstrumente bei der Beseitigung von Konfliktursachen und anderen Menschenrechtsproblemen sicherstellen .
gegen Mobbing unternehmen	Literal,Literal,Literal	Literal	Da bisher gegen Mobbing generell nur sehr wenig unternommen wurde , ist dieser Bericht besonders begrüßenswert , ermöglicht er doch eine offene Aussprache zu einem Punkt , der nur allzu oft ignoriert wird .
Lösung Problem unternehmen	Literal,Literal,Literal	Literal	Deshalb müssen wir lernen , die Anzeichen von Konflikten schon frühzeitig zu erkennen , und wir müssen den Mut haben , etwas zur Lösung des Problems zu unternehmen , bevor es zur Eskalation kommt .
